repair_id,claim_id,vehicle_id,repair_shop_contact_id,estimate_amount,approved_amount,invoice_amount,paid_amount,repair_start_date,repair_end_date,repair_status,make,model,vehicle_year,claim_status,claim_severity,loss_cause,jurisdiction,incident_type,damage_severity,incident_state,incident_country,total_loss,liability_percentage,exposure_type,coverage_type,exposure_status,is_repeat_vehicle,is_synthetic_anomaly,anomaly_type
31,27,477,107,1320.51,1292.88,1346.58,1294.3,2026-06-16,2026-06-19,Completed,Ford,F-150,2015,Open,Low,Weather Related,OH,Vehicle Accident,Minor,OH,USA,False,91.93444596018642,Third Party Property Damage,Liability,Open,True,False,
32,28,7321,38,2066.62,1863.21,2314.22,1843.48,2025-05-11,2025-05-20,Completed,Honda,Civic,2013,Open,High,Rear-end Collision,IL,Vandalism,Moderate,IL,USA,False,52.66677722957215,First Party Collision,Comprehensive,Open,False,False,
33,28,7321,38,1999.35,1893.29,3873.2832324763367,1780.64,2025-05-11,2025-05-20,Completed,Honda,Civic,2013,Open,High,Rear-end Collision,IL,Vandalism,Moderate,IL,USA,False,52.66677722957215,First Party Collision,Comprehensive,Open,False,True,invoice_spike
34,29,3043,106,2772.34,2689.47,2346.87,2353.62,2026-03-19,2026-03-26,Completed,Jeep,Grand Cherokee,2010,Reopened,Low,Weather Related,NJ,Vehicle Accident,Moderate,NJ,USA,False,82.37506909165809,Third Party Property Damage,Liability,Closed,False,False,
35,29,3043,106,3411.07,3196.28,3296.73,3194.19,2026-03-19,2026-03-26,Completed,Jeep,Grand Cherokee,2010,Reopened,Low,Weather Related,NJ,Vehicle Accident,Moderate,NJ,USA,False,82.37506909165809,Third Party Property Damage,Liability,Closed,False,False,
36,30,520,219,1967.95,1945.56,1877.99,1985.14,2025-05-05,2025-05-13,Completed,Toyota,Corolla,2024,Closed,Low,Rear-end Collision,NJ,Weather Damage,Moderate,NJ,USA,False,68.0019710310645,First Party Collision,Comprehensive,Closed,False,False,
37,30,520,219,2240.61,2233.43,2223.9,2279.59,2025-05-05,2025-05-13,Completed,Toyota,Corolla,2024,Closed,Low,Rear-end Collision,NJ,Weather Damage,Moderate,NJ,USA,False,68.0019710310645,First Party Collision,Comprehensive,Closed,False,False,
38,31,2087,104,8125.35,7181.88,7529.64,7124.55,2025-04-26,2025-05-19,Completed,Toyota,Camry,2008,Open,Low,Rear-end Collision,OH,Vehicle Accident,Total Loss,OH,USA,True,77.50913040500257,Third Party Property Damage,Liability,Under Review,False,False,
39,31,2087,104,7599.48,7518.55,7507.19,7426.66,2025-04-26,2025-05-19,In Progress,Toyota,Camry,2008,Open,Low,Rear-end Collision,OH,Vehicle Accident,Total Loss,OH,USA,True,77.50913040500257,Third Party Property Damage,Liability,Under Review,False,False,
40,32,6496,97,2568.91,2479.66,2577.72,2456.78,2026-03-11,2026-03-14,Scheduled,Mercedes-Benz,C-Class,2024,Open,Low,Parking Lot Incident,CA,Vehicle Accident,Minor,CA,USA,False,51.67680407780478,First Party Collision,Collision,Closed,False,False,
41,33,1247,94,1027.08,949.21,974.68,905.54,2026-07-09,2026-07-13,Completed,Toyota,Camry,2024,Open,Medium,Rear-end Collision,FL,Weather Damage,Minor,FL,USA,False,50.27343121313487,First Party Collision,Comprehensive,Closed,False,False,
42,34,4581,189,3675.81,3498.53,4984.19,3646.88,2026-04-16,2026-05-04,Completed,Honda,Civic,2008,Open,Medium,Head-on Collision,OH,Vehicle Accident,Severe,OH,USA,False,96.6848730791985,Third Party Property Damage,Liability,Open,False,False,
43,34,4581,189,4152.07,3659.89,4895.83,3639.17,2026-04-16,2026-05-04,Completed,Honda,Civic,2008,Open,Medium,Head-on Collision,OH,Vehicle Accident,Severe,OH,USA,False,96.6848730791985,Third Party Property Damage,Liability,Open,False,False,
44,34,4581,189,2992.37,2878.95,3868.16,2897.57,2026-04-16,2026-05-04,In Progress,Honda,Civic,2008,Open,Medium,Head-on Collision,OH,Vehicle Accident,Severe,OH,USA,False,96.6848730791985,Third Party Property Damage,Liability,Open,False,False,
45,35,2380,11,775.93,693.25,732.85,708.06,2026-01-05,2026-01-08,Completed,Hyundai,Elantra,2019,Closed,Low,Parking Lot Incident,IL,Vehicle Accident,Minor,IL,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
46,36,462,18,1215.1,1218.67,1179.8,1170.67,2025-07-06,2025-07-10,Completed,Honda,CR-V,2008,Reopened,Low,Rear-end Collision,NC,Vehicle Accident,Minor,NC,USA,False,99.0487088982493,Third Party Property Damage,Liability,Open,False,False,
47,37,1665,21,4441.89,4451.36,4577.66,4538.11,2026-04-30,2026-05-19,In Progress,Honda,CR-V,2009,Closed,High,Head-on Collision,NJ,Vehicle Accident,Severe,NJ,USA,False,58.48989417222592,Third Party Property Damage,Liability,Closed,False,False,
48,38,3048,76,1035.29,926.5,1162.52,927.44,2026-05-17,2026-05-23,Completed,Hyundai,Elantra,2020,Open,Medium,Hit and Run,PA,Weather Damage,Minor,PA,USA,False,61.363934472273456,First Party Collision,Comprehensive,Open,True,False,
49,39,4902,104,5867.48,5390.01,5859.03,4915.58,2025-08-05,2025-08-20,In Progress,Ford,F-150,2020,Closed,Medium,Rear-end Collision,PA,Vehicle Accident,Severe,PA,USA,False,92.79458689036312,Third Party Property Damage,Liability,Open,False,False,
50,40,3434,67,1278.06,1170.85,1198.94,1221.19,2025-08-02,2025-08-03,In Progress,Toyota,Camry,2023,Open,Low,Hit and Run,CA,Vehicle Accident,Minor,CA,USA,False,81.34057782341176,Third Party Property Damage,Liability,Closed,False,False,
51,41,1008,58,13953.95,12793.24,14599.2,12399.85,2026-01-09,2026-02-07,Scheduled,Tesla,Model 3,2013,Open,Medium,Weather Related,TX,Vehicle Accident,Total Loss,TX,USA,True,53.6349960932711,Third Party Property Damage,Liability,Open,False,False,
52,41,1008,58,14156.02,13430.09,16679.31,13646.32,2026-01-09,2026-02-07,Completed,Tesla,Model 3,2013,Open,Medium,Weather Related,TX,Vehicle Accident,Total Loss,TX,USA,True,53.6349960932711,Third Party Property Damage,Liability,Open,False,False,
53,42,2244,192,2154.55,1943.57,2253.79,1915.07,2025-05-01,2025-05-10,Scheduled,Toyota,Corolla,2020,Open,Low,Weather Related,FL,Weather Damage,Moderate,FL,USA,False,73.6618658447441,First Party Collision,Comprehensive,Open,False,False,
54,43,704,1,1556.97,1471.94,1608.94,1492.63,2025-10-18,2025-10-24,Completed,Honda,CR-V,2023,Open,Medium,Side Impact,NJ,Vandalism,Minor,NJ,USA,False,78.2080466603511,First Party Collision,Comprehensive,Closed,True,False,
55,44,788,27,1545.74,1382.08,1903.52,1348.89,2026-04-28,2026-05-04,In Progress,Honda,Civic,2016,Open,Low,Hit and Run,IL,Vehicle Accident,Moderate,IL,USA,False,100.0,First Party Collision,Collision,Closed,False,False,
56,44,788,27,1786.58,1764.18,1638.05,1696.97,2026-04-28,2026-05-04,Completed,Honda,Civic,2016,Open,Low,Hit and Run,IL,Vehicle Accident,Moderate,IL,USA,False,100.0,First Party Collision,Collision,Closed,False,False,
57,45,7350,45,2130.98,1884.35,2022.86,1948.23,2025-06-13,2025-06-14,Scheduled,BMW,X5,2018,Closed,High,Head-on Collision,NY,Vandalism,Minor,NY,USA,False,73.75939009837055,First Party Collision,Comprehensive,Closed,False,False,
58,46,5076,206,1141.03,985.09,1283.34,962.68,2026-05-24,2026-05-28,In Progress,Toyota,Corolla,2019,Closed,Medium,Side Impact,NY,Vehicle Accident,Minor,NY,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
59,47,3477,145,2717.44,2652.48,2120.52,2073.66,2025-08-17,2025-08-19,Scheduled,Honda,CR-V,2021,Closed,High,Weather Related,IL,Vehicle Accident,Moderate,IL,USA,False,90.02671107776054,Third Party Property Damage,Liability,Closed,False,False,
60,48,1741,181,1631.82,1528.11,1576.12,1469.79,2026-04-11,2026-04-18,In Progress,Hyundai,Elantra,2025,Closed,Low,Rear-end Collision,CA,Weather Damage,Moderate,CA,USA,False,91.04360710868198,First Party Collision,Comprehensive,Closed,False,False,
61,49,7625,71,1956.54,2040.7,1986.26,1949.33,2025-05-04,2025-05-10,In Progress,Nissan,Altima,2020,Open,High,Rear-end Collision,IL,Vehicle Accident,Moderate,IL,USA,False,76.17075699729959,Third Party Property Damage,Liability,Closed,False,False,
62,50,1912,159,996.13,942.9,924.44,970.27,2026-06-11,2026-06-12,Completed,Toyota,Corolla,2008,Reopened,High,Rear-end Collision,PA,Vehicle Accident,Minor,PA,USA,False,84.50867322298124,Third Party Property Damage,Liability,Closed,False,False,
63,51,3012,41,6186.78,6202.58,7262.97,6133.43,2025-06-29,2025-07-19,Completed,Chevrolet,Silverado,2017,Open,Medium,Side Impact,CA,Vehicle Accident,Severe,CA,USA,False,45.593631135773045,First Party Collision,Collision,Open,False,False,
64,52,4764,139,5482.36,5385.39,4906.93,4969.69,2026-05-23,2026-06-08,Completed,Subaru,Outback,2025,Closed,Low,Weather Related,NY,Parking Incident,Severe,NY,USA,False,99.9103076287629,First Party Collision,Comprehensive,Closed,False,False,
65,52,4764,139,5438.39,5450.62,5517.89,5539.47,2026-05-23,2026-06-08,In Progress,Subaru,Outback,2025,Closed,Low,Weather Related,NY,Parking Incident,Severe,NY,USA,False,99.9103076287629,First Party Collision,Comprehensive,Closed,False,False,
66,52,4764,139,4544.83,4411.53,4727.68,4382.63,2026-05-23,2026-06-08,Completed,Subaru,Outback,2025,Closed,Low,Weather Related,NY,Parking Incident,Severe,NY,USA,False,99.9103076287629,First Party Collision,Comprehensive,Closed,False,False,
67,53,7630,111,576.3,547.33,580.56,544.37,2026-03-22,2026-03-25,In Progress,Hyundai,Elantra,2021,Open,Medium,Rear-end Collision,IL,Vehicle Accident,Minor,IL,USA,False,84.58767085612325,First Party Collision,Collision,Closed,False,False,
68,54,5974,55,1810.63,1737.88,1869.98,1743.99,2026-06-15,2026-06-18,Completed,Hyundai,Elantra,2018,Open,Low,Side Impact,GA,Vehicle Accident,Moderate,GA,USA,False,90.49965373448306,First Party Collision,Collision,Open,False,False,
69,54,5974,55,2082.58,1877.67,2370.42,1895.04,2026-06-15,2026-06-18,Scheduled,Hyundai,Elantra,2018,Open,Low,Side Impact,GA,Vehicle Accident,Moderate,GA,USA,False,90.49965373448306,First Party Collision,Collision,Open,False,False,
70,55,1483,65,638.29,569.76,681.81,563.53,2025-06-01,2025-06-07,Completed,Hyundai,Elantra,2023,Open,High,Rear-end Collision,NY,Weather Damage,Minor,NY,USA,False,100.0,First Party Collision,Comprehensive,Open,False,False,
71,56,447,116,2884.12,2614.07,2561.47,2592.85,2026-01-23,2026-01-24,Completed,BMW,X5,2017,Closed,Medium,Weather Related,CA,Vehicle Accident,Minor,CA,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
72,57,4430,195,1015.28,1013.6,864.83,843.24,2025-03-10,2025-03-16,Completed,Honda,Civic,2015,Closed,Low,Parking Lot Incident,TX,Vehicle Accident,Minor,TX,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
73,57,4430,195,930.57,896.49,879.78,855.75,2025-03-10,2025-03-16,Completed,Honda,Civic,2015,Closed,Low,Parking Lot Incident,TX,Vehicle Accident,Minor,TX,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
74,58,216,43,2691.0840203342996,2112.61,3013.368326628868,2559.96461696096,2025-05-27,2025-06-03,Completed,Jeep,Grand Cherokee,2020,Closed,Low,Side Impact,NJ,Parking Incident,Moderate,NJ,USA,False,62.97735079987538,First Party Collision,Comprehensive,Closed,False,True,combo
75,59,2768,49,1734.26,1711.82,2364.41,1717.26,2026-02-25,2026-03-06,In Progress,Honda,Civic,2016,Closed,Low,Parking Lot Incident,FL,Vandalism,Moderate,FL,USA,False,100.0,First Party Collision,Comprehensive,Open,False,False,
76,60,7772,51,3275.08,3093.64,3016.05,3031.68,2026-03-08,2026-03-26,Completed,Honda,Civic,2009,Open,Medium,Rear-end Collision,TX,Vehicle Accident,Severe,TX,USA,False,80.46137509988209,Third Party Property Damage,Liability,Closed,False,False,
77,60,7772,51,4103.19,3956.77,4015.53,3900.62,2026-03-08,2026-03-26,Completed,Honda,Civic,2009,Open,Medium,Rear-end Collision,TX,Vehicle Accident,Severe,TX,USA,False,80.46137509988209,Third Party Property Damage,Liability,Closed,False,False,
78,61,5721,168,1015.2,910.35,1049.7,869.8,2026-04-09,2026-04-12,Completed,Toyota,Corolla,2018,Open,Medium,Parking Lot Incident,FL,Vehicle Accident,Minor,FL,USA,False,100.0,First Party Collision,Collision,Open,False,False,
79,62,5754,25,5851.75,5030.59,6304.24,4855.36,2025-01-13,2025-01-29,Scheduled,BMW,3 Series,2011,Closed,Medium,Side Impact,FL,Vehicle Accident,Severe,FL,USA,False,90.1590410604477,Third Party Property Damage,Liability,Under Review,False,False,
80,63,1585,107,2725.65,2531.84,2824.64,2492.73,2025-09-10,2025-09-21,Completed,Toyota,Camry,2010,Open,Medium,Rear-end Collision,TX,Parking Incident,Moderate,TX,USA,False,82.6624652035883,First Party Collision,Comprehensive,Closed,False,False,
81,64,1021,129,2426.06,2378.65,2529.57,2373.04,2025-07-27,2025-08-02,In Progress,Ford,F-150,2011,Reopened,Low,Side Impact,FL,Vehicle Accident,Moderate,FL,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
82,64,1021,129,2529.99,2270.08,2073.79,2130.35,2025-07-27,2025-08-02,Completed,Ford,F-150,2011,Reopened,Low,Side Impact,FL,Vehicle Accident,Moderate,FL,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
83,64,1021,129,2552.17,2483.18,2182.21,2235.77,2025-07-27,2025-08-02,Completed,Ford,F-150,2011,Reopened,Low,Side Impact,FL,Vehicle Accident,Moderate,FL,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
84,65,7379,203,1386.33,1314.58,1422.37,1336.11,2026-04-10,2026-04-12,Completed,Honda,CR-V,2008,Open,Medium,Rear-end Collision,PA,Vehicle Accident,Minor,PA,USA,False,72.87408913588628,Third Party Property Damage,Liability,Closed,False,False,
85,66,7651,39,1671.94,1604.95,1575.65,1555.72,2025-06-16,2025-06-26,In Progress,Hyundai,Elantra,2022,Closed,High,Rear-end Collision,IL,Vehicle Accident,Moderate,IL,USA,False,74.93164595775563,First Party Collision,Collision,Open,False,False,
86,66,7651,39,1539.95,1380.64,1366.36,1416.35,2025-06-16,2025-06-26,Completed,Hyundai,Elantra,2022,Closed,High,Rear-end Collision,IL,Vehicle Accident,Moderate,IL,USA,False,74.93164595775563,First Party Collision,Collision,Open,False,False,
87,66,7651,39,2177.86,2124.17,2106.14,2177.02,2025-06-16,2025-06-26,Completed,Hyundai,Elantra,2022,Closed,High,Rear-end Collision,IL,Vehicle Accident,Moderate,IL,USA,False,74.93164595775563,First Party Collision,Collision,Open,False,False,
88,67,1515,206,1964.99,1915.59,2011.3,1880.62,2025-05-09,2025-05-15,Completed,Toyota,Camry,2008,Closed,Medium,Weather Related,NY,Vehicle Accident,Moderate,NY,USA,False,39.62908989170284,Third Party Property Damage,Liability,Under Review,False,False,
89,68,6084,129,1716.96,1561.45,1724.87,1555.94,2025-09-23,2025-09-28,Completed,Ford,Focus,2023,Closed,Low,Parking Lot Incident,CA,Vehicle Accident,Moderate,CA,USA,False,61.394552839867366,First Party Collision,Collision,Open,False,False,
90,68,6084,129,2304.65,2339.21,2145.4,2138.46,2025-09-23,2025-09-28,Completed,Ford,Focus,2023,Closed,Low,Parking Lot Incident,CA,Vehicle Accident,Moderate,CA,USA,False,61.394552839867366,First Party Collision,Collision,Open,False,False,
91,69,5353,47,2183.13,2171.25,2223.96,2239.67,2025-10-22,2025-11-02,Completed,Toyota,Camry,2010,Open,Medium,Parking Lot Incident,IL,Vehicle Accident,Moderate,IL,USA,False,72.28248960803136,Third Party Property Damage,Liability,Closed,True,False,
92,70,5292,127,9778.4,9244.63,10969.02,9108.05,2025-11-18,2025-12-17,Completed,Ford,F-150,2009,Open,Medium,Rear-end Collision,TX,Weather Damage,Total Loss,TX,USA,True,86.38587269673734,First Party Collision,Comprehensive,Closed,True,False,
93,70,5292,127,9449.4,8552.7,9087.17,8811.0,2025-11-18,2025-12-17,Completed,Ford,F-150,2009,Open,Medium,Rear-end Collision,TX,Weather Damage,Total Loss,TX,USA,True,86.38587269673734,First Party Collision,Comprehensive,Closed,True,False,
94,70,5292,127,12366.17,13008.81,11806.87,12513.86,2025-11-18,2025-12-17,Completed,Ford,F-150,2009,Open,Medium,Rear-end Collision,TX,Weather Damage,Total Loss,TX,USA,True,86.38587269673734,First Party Collision,Comprehensive,Closed,True,False,
95,71,5654,57,7128.65,6898.8,9696.29,6722.04,2025-08-04,2025-08-17,Scheduled,Ford,F-150,2010,Open,Low,Parking Lot Incident,TX,Vehicle Accident,Severe,TX,USA,False,91.0389718905229,Third Party Property Damage,Liability,Closed,False,False,
96,72,1414,74,3372.6,3013.88,3326.48,3038.41,2025-03-19,2025-04-06,Completed,Ford,Focus,2013,Open,Low,Rear-end Collision,NY,Parking Incident,Severe,NY,USA,False,76.46934333393453,First Party Collision,Comprehensive,Closed,False,False,
97,73,1401,197,4579.42,4794.59,4191.74,4380.52,2026-01-15,2026-01-29,Completed,Nissan,Altima,2021,Closed,Low,Rear-end Collision,CA,Vehicle Accident,Severe,CA,USA,False,56.54565721722902,First Party Collision,Collision,Open,False,False,
98,74,3318,18,4163.33,3894.73,4353.07,3733.18,2025-06-11,2025-06-25,Completed,Subaru,Outback,2013,Open,High,Weather Related,OH,Vehicle Accident,Severe,OH,USA,False,86.33132275344126,First Party Collision,Collision,Under Review,False,False,
99,75,6022,74,4878.3,4896.61,4304.16,4467.55,2026-01-17,2026-01-31,Completed,Honda,Civic,2014,Closed,Medium,Rear-end Collision,CA,Vehicle Accident,Severe,CA,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
100,75,6022,74,3760.0,3620.23,3825.33,3582.78,2026-01-17,2026-01-31,Completed,Honda,Civic,2014,Closed,Medium,Rear-end Collision,CA,Vehicle Accident,Severe,CA,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
101,76,2266,5,875.98,851.07,843.04,807.32,2025-05-06,2025-05-12,In Progress,Ford,Focus,2008,Open,Low,Rear-end Collision,CA,Vehicle Accident,Minor,CA,USA,False,77.95703368691633,Third Party Property Damage,Liability,Open,False,False,
102,77,1551,144,8671.38,8427.56,9356.91,8317.95,2026-06-21,2026-07-06,Completed,Mercedes-Benz,C-Class,2025,Open,Low,Side Impact,IL,Vehicle Accident,Severe,IL,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
103,78,7686,183,863.28,817.59,796.18,780.97,2026-05-09,2026-05-11,Completed,Ford,Focus,2009,Open,Low,Parking Lot Incident,NJ,Vehicle Accident,Minor,NJ,USA,False,37.38994175506886,Third Party Property Damage,Liability,Open,False,False,
104,79,930,198,1610.74,1711.56,1745.98,1689.3,2026-02-22,2026-03-02,Completed,Ford,F-150,2020,Closed,Low,Rear-end Collision,NJ,Weather Damage,Minor,NJ,USA,False,79.04011772229711,First Party Collision,Comprehensive,Open,False,False,
105,80,253,68,3880.06,3681.52,3972.75,3609.37,2025-12-25,2026-01-11,Completed,Ford,Focus,2017,Open,High,Parking Lot Incident,NY,Vehicle Accident,Severe,NY,USA,False,70.71247913507048,Third Party Property Damage,Liability,Open,False,False,
106,81,5562,185,1166.1,1135.06,1286.98,1087.34,2026-06-26,2026-07-03,Scheduled,Toyota,Camry,2025,Open,Low,Head-on Collision,TX,Vehicle Accident,Minor,TX,USA,False,70.57833405221437,First Party Collision,Collision,Under Review,False,False,
