claim_id,repair_id,vehicle_id,replaced_part_1,replaced_part_1_cost,replaced_part_2,replaced_part_2_cost,replaced_part_3,replaced_part_3_cost,replaced_part_4,replaced_part_4_cost,replaced_part_5,replaced_part_5_cost,repaired_part_1,repaired_part_1_cost,repaired_part_2,repaired_part_2_cost,repaired_part_3,repaired_part_3_cost,repaired_part_4,repaired_part_4_cost,repaired_part_5,repaired_part_5_cost,num_parts_replaced,replaced_cost_total,overflow_replaced_count,num_parts_repaired,repaired_cost_total,overflow_repaired_count,num_parts_reused,reused_cost_total,total_parts_cost,pct_cost_replaced
16,21,1806,Hood,1197.47,,,,,,,,,,,,,,,,,,,1,1197.47,0,0,0.0,0,0,0.0,1197.47,1.0
17,22,1440,,,,,,,,,,,Quarter Panel,544.53,,,,,,,,,0,0.0,0,1,544.53,0,0,0.0,544.53,0.0
18,23,3009,Grille,636.95,,,,,,,,,,,,,,,,,,,1,636.95,0,0,0.0,0,1,745.04,1381.99,0.4609
19,24,2041,,,,,,,,,,,Tail Light Assembly,804.81,Rear Bumper Cover,711.97,,,,,,,0,0.0,0,2,1516.78,0,0,0.0,1516.78,0.0
20,25,5621,,,,,,,,,,,Headlight Assembly - Left,810.01,,,,,,,,,0,0.0,0,1,810.01,0,0,0.0,810.01,0.0
21,26,1153,Quarter Panel,649.62,,,,,,,,,,,,,,,,,,,1,649.62,0,0,0.0,0,0,0.0,649.62,1.0
21,27,1153,Tail Light Assembly,1392.8,,,,,,,,,,,,,,,,,,,1,1392.8,0,0,0.0,0,0,0.0,1392.8,1.0
22,28,1684,Windshield,1384.65,Tail Light Assembly,571.84,,,,,,,Rear Bumper Cover,549.44,,,,,,,,,2,1956.49,0,1,549.44,0,0,0.0,2505.93,0.7807
23,29,1691,Rear Bumper Cover,5429.83,,,,,,,,,Tail Light Assembly,1094.65,,,,,,,,,1,5429.83,0,1,1094.65,0,0,0.0,6524.48,0.8322
23,30,1691,Quarter Panel,3781.08,Tail Light Assembly,710.98,,,,,,,,,,,,,,,,,2,4492.06,0,0,0.0,0,0,0.0,4492.06,1.0
24,31,1852,,,,,,,,,,,Door Panel - Driver,761.32,,,,,,,,,0,0.0,0,1,761.32,0,0,0.0,761.32,0.0
24,32,1852,,,,,,,,,,,Front Fender - Left,534.74,,,,,,,,,0,0.0,0,1,534.74,0,0,0.0,534.74,0.0
25,33,4178,Rear Bumper Cover,523.16,Tail Light Assembly,441.85,,,,,,,,,,,,,,,,,2,965.01,0,0,0.0,0,0,0.0,965.01,1.0
26,34,1849,Front Fender - Left,1411.78,,,,,,,,,,,,,,,,,,,1,1411.78,0,0,0.0,0,0,0.0,1411.78,1.0
26,35,1849,Quarter Panel,1145.81,Front Fender - Left,757.83,,,,,,,,,,,,,,,,,2,1903.64,0,0,0.0,0,0,0.0,1903.64,1.0
26,36,1849,Front Fender - Left,418.27,,,,,,,,,Quarter Panel,1603.02,,,,,,,,,1,418.27,0,1,1603.02,0,0,0.0,2021.29,0.2069
27,37,1870,,,,,,,,,,,Front Fender - Left,878.49,,,,,,,,,0,0.0,0,1,878.49,0,0,0.0,878.49,0.0
28,38,4142,,,,,,,,,,,Headlight Assembly - Left,2376.45,,,,,,,,,0,0.0,0,1,2376.45,0,0,0.0,2376.45,0.0
29,39,3494,,,,,,,,,,,Grille,3520.95,,,,,,,,,0,0.0,0,1,3520.95,0,0,0.0,3520.95,0.0
30,40,852,,,,,,,,,,,Quarter Panel,1548.85,,,,,,,,,0,0.0,0,1,1548.85,0,0,0.0,1548.85,0.0
31,41,5679,Quarter Panel,2673.83,Windshield,1927.38,,,,,,,,,,,,,,,,,2,4601.21,0,0,0.0,0,0,0.0,4601.21,1.0
32,42,512,Door Panel - Passenger,2344.59,,,,,,,,,,,,,,,,,,,1,2344.59,0,0,0.0,0,0,0.0,2344.59,1.0
33,43,734,,,,,,,,,,,Tail Light Assembly,968.79,,,,,,,,,0,0.0,0,1,968.79,0,0,0.0,968.79,0.0
33,44,734,,,,,,,,,,,Rear Bumper Cover,752.55,,,,,,,,,0,0.0,0,1,752.55,0,0,0.0,752.55,0.0
34,45,1108,,,,,,,,,,,Headlight Assembly - Left,925.64,,,,,,,,,0,0.0,0,1,925.64,0,0,0.0,925.64,0.0
34,46,1108,,,,,,,,,,,Headlight Assembly - Left,370.8,Front Bumper Cover,238.13,,,,,,,0,0.0,0,2,608.93,0,0,0.0,608.93,0.0
35,47,4267,,,,,,,,,,,Quarter Panel,514.76,,,,,,,,,0,0.0,0,1,514.76,0,0,0.0,514.76,0.0
36,48,1847,,,,,,,,,,,Quarter Panel,360.08,,,,,,,,,0,0.0,0,1,360.08,0,0,0.0,360.08,0.0
36,49,1847,Rear Bumper Cover,92.26,,,,,,,,,Quarter Panel,334.35,,,,,,,,,1,92.26,0,1,334.35,0,0,0.0,426.61,0.2163
37,50,599,Quarter Panel,698.67,,,,,,,,,,,,,,,,,,,1,698.67,0,0,0.0,0,0,0.0,698.67,1.0
38,51,797,Quarter Panel,1732.41,Tail Light Assembly,812.3,Rear Bumper Cover,602.68,,,,,,,,,,,,,,,3,3147.39,0,0,0.0,0,0,0.0,3147.39,1.0
39,52,3658,Front Fender - Left,1553.45,,,,,,,,,,,,,,,,,,,1,1553.45,0,0,0.0,0,0,0.0,1553.45,1.0
40,53,1487,Tail Light Assembly,1065.04,,,,,,,,,,,,,,,,,,,1,1065.04,0,0,0.0,0,0,0.0,1065.04,1.0
40,54,1487,Rear Bumper Cover,489.25,,,,,,,,,,,,,,,,,,,1,489.25,0,0,0.0,0,0,0.0,489.25,1.0
40,55,1487,Tail Light Assembly,1102.81,,,,,,,,,,,,,,,,,,,1,1102.81,0,0,0.0,0,0,0.0,1102.81,1.0
41,56,3175,,,,,,,,,,,Radiator Support,1223.32,,,,,,,,,0,0.0,0,1,1223.32,0,0,0.0,1223.32,0.0
42,57,1401,Quarter Panel,990.01,Rear Bumper Cover,428.51,Tail Light Assembly,175.64,,,,,,,,,,,,,,,3,1594.16,0,0,0.0,0,0,0.0,1594.16,1.0
43,58,6518,,,,,,,,,,,Rear Bumper Cover,557.76,,,,,,,,,0,0.0,0,1,557.76,0,0,0.0,557.76,0.0
44,59,2608,Quarter Panel,834.11,,,,,,,,,,,,,,,,,,,1,834.11,0,0,0.0,0,0,0.0,834.11,1.0
45,60,3403,Windshield,1391.41,Rear Bumper Cover,1170.57,Tail Light Assembly,552.86,,,,,,,,,,,,,,,3,3114.84,0,0,0.0,0,0,0.0,3114.84,1.0
46,61,1453,,,,,,,,,,,Headlight Assembly - Right,1665.97,,,,,,,,,0,0.0,0,1,1665.97,0,0,0.0,1665.97,0.0
46,62,1453,,,,,,,,,,,Front Bumper Cover,950.06,,,,,,,,,0,0.0,0,1,950.06,0,0,0.0,950.06,0.0
47,63,5399,Rear Bumper Cover,740.92,Tail Light Assembly,238.64,,,,,,,,,,,,,,,,,2,979.56,0,0,0.0,0,0,0.0,979.56,1.0
47,64,5399,Tail Light Assembly,1432.14,,,,,,,,,,,,,,,,,,,1,1432.14,0,0,0.0,0,0,0.0,1432.14,1.0
47,65,5399,Quarter Panel,698.75,,,,,,,,,Tail Light Assembly,319.27,,,,,,,,,1,698.75,0,1,319.27,0,0,0.0,1018.02,0.6864
48,66,1396,Door Panel - Passenger,1352.01,,,,,,,,,,,,,,,,,,,1,1352.01,0,0,0.0,0,0,0.0,1352.01,1.0
48,67,1396,Front Fender - Right,1188.04,,,,,,,,,,,,,,,,,,,1,1188.04,0,0,0.0,0,0,0.0,1188.04,1.0
49,68,508,Grille,433.83,,,,,,,,,Headlight Assembly - Left,1285.63,,,,,,,,,1,433.83,0,1,1285.63,0,0,0.0,1719.46,0.2523
50,69,2057,Door Panel - Driver,516.01,,,,,,,,,,,,,,,,,,,1,516.01,0,0,0.0,0,0,0.0,516.01,1.0
51,70,6425,Hood,287.0,,,,,,,,,,,,,,,,,,,1,287.0,0,0,0.0,0,1,366.13,653.13,0.4394
51,71,6425,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,919.39,919.39,0.0
51,72,6425,,,,,,,,,,,Front Bumper Cover,987.77,,,,,,,,,0,0.0,0,1,987.77,0,0,0.0,987.77,0.0
52,73,485,Quarter Panel,1440.37,,,,,,,,,,,,,,,,,,,1,1440.37,0,0,0.0,0,0,0.0,1440.37,1.0
52,74,485,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,1354.12,1354.12,0.0
53,75,3056,,,,,,,,,,,Quarter Panel,716.19,,,,,,,,,0,0.0,0,1,716.19,0,0,0.0,716.19,0.0
54,76,5275,,,,,,,,,,,Door Panel - Passenger,1951.68,,,,,,,,,0,0.0,0,1,1951.68,0,0,0.0,1951.68,0.0
55,77,3564,Headlight Assembly - Right,1179.35,Front Bumper Cover,894.92,,,,,,,,,,,,,,,,,2,2074.27,0,0,0.0,0,0,0.0,2074.27,1.0
55,78,3564,Headlight Assembly - Right,2915.48,,,,,,,,,,,,,,,,,,,1,2915.48,0,0,0.0,0,0,0.0,2915.48,1.0
56,79,4473,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,1494.02,1494.02,0.0
57,80,3027,Quarter Panel,452.86,,,,,,,,,Tail Light Assembly,114.78,,,,,,,,,1,452.86,0,1,114.78,0,0,0.0,567.64,0.7978
58,81,2785,Rear Bumper Cover,1828.35,Tail Light Assembly,1019.83,,,,,,,,,,,,,,,,,2,2848.18,0,0,0.0,0,0,0.0,2848.18,1.0
59,82,6325,Tail Light Assembly,396.35,,,,,,,,,Rear Bumper Cover,709.33,,,,,,,,,1,396.35,0,1,709.33,0,0,0.0,1105.68,0.3585
60,83,1197,Rear Bumper Cover,213.54,,,,,,,,,Quarter Panel,425.19,Tail Light Assembly,60.2,,,,,,,1,213.54,0,2,485.39,0,0,0.0,698.93,0.3055
61,84,3636,,,,,,,,,,,Headlight Assembly - Right,1159.0,Grille,410.56,,,,,,,0,0.0,0,2,1569.56,0,0,0.0,1569.56,0.0
61,85,3636,,,,,,,,,,,Grille,897.66,,,,,,,,,0,0.0,0,1,897.66,0,0,0.0,897.66,0.0
62,86,6150,Front Bumper Cover,869.27,,,,,,,,,Grille,769.06,,,,,,,,,1,869.27,0,1,769.06,0,0,0.0,1638.33,0.5306
62,87,6150,Headlight Assembly - Left,1788.22,,,,,,,,,,,,,,,,,,,1,1788.22,0,0,0.0,0,0,0.0,1788.22,1.0
63,88,1517,Tail Light Assembly,758.63,Rear Bumper Cover,599.36,,,,,,,,,,,,,,,,,2,1357.99,0,0,0.0,0,0,0.0,1357.99,1.0
64,89,2358,Quarter Panel,743.94,Tail Light Assembly,154.15,,,,,,,,,,,,,,,,,2,898.09,0,0,0.0,0,0,0.0,898.09,1.0
65,90,6285,Door Panel - Passenger,961.37,,,,,,,,,Front Fender - Right,655.6,,,,,,,,,1,961.37,0,1,655.6,0,0,0.0,1616.97,0.5946
65,91,6285,,,,,,,,,,,Quarter Panel,615.08,,,,,,,,,0,0.0,0,1,615.08,0,1,700.54,1315.62,0.0
66,92,4194,,,,,,,,,,,Front Fender - Right,1082.91,,,,,,,,,0,0.0,0,1,1082.91,0,0,0.0,1082.91,0.0
67,93,3642,Front Fender - Right,171.17,,,,,,,,,Door Panel - Passenger,557.32,,,,,,,,,1,171.17,0,1,557.32,0,0,0.0,728.49,0.235
67,94,3642,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,602.88,602.88,0.0
67,95,3642,,,,,,,,,,,Quarter Panel,491.83,,,,,,,,,0,0.0,0,1,491.83,0,0,0.0,491.83,0.0
68,96,2732,Tail Light Assembly,461.58,,,,,,,,,Rear Bumper Cover,788.47,,,,,,,,,1,461.58,0,1,788.47,0,0,0.0,1250.05,0.3692
68,97,2732,,,,,,,,,,,Tail Light Assembly,2447.05,,,,,,,,,0,0.0,0,1,2447.05,0,0,0.0,2447.05,0.0
68,98,2732,,,,,,,,,,,Tail Light Assembly,316.08,,,,,,,,,0,0.0,0,1,316.08,0,1,762.26,1078.34,0.0
69,99,5222,,,,,,,,,,,Quarter Panel,1761.74,,,,,,,,,0,0.0,0,1,1761.74,0,0,0.0,1761.74,0.0
70,100,376,Quarter Panel,3680.34,Front Fender - Right,1568.89,,,,,,,,,,,,,,,,,2,5249.23,0,0,0.0,0,0,0.0,5249.23,1.0
71,101,2405,Front Bumper Cover,609.02,,,,,,,,,,,,,,,,,,,1,609.02,0,0,0.0,0,0,0.0,609.02,1.0
72,102,4113,Rear Bumper Cover,608.25,Tail Light Assembly,277.06,,,,,,,,,,,,,,,,,2,885.31,0,0,0.0,0,0,0.0,885.31,1.0
72,103,4113,Quarter Panel,369.61,,,,,,,,,Rear Bumper Cover,250.28,,,,,,,,,1,369.61,0,1,250.28,0,0,0.0,619.89,0.5963
73,104,3620,Quarter Panel,585.35,Tail Light Assembly,111.51,,,,,,,Rear Bumper Cover,347.68,,,,,,,,,2,696.86,0,1,347.68,0,0,0.0,1044.54,0.6671
74,105,2936,Front Fender - Left,690.01,,,,,,,,,,,,,,,,,,,1,690.01,0,0,0.0,0,0,0.0,690.01,1.0
75,106,5878,Front Fender - Left,2725.0,,,,,,,,,Door Panel - Driver,3672.84,,,,,,,,,1,2725.0,0,1,3672.84,0,0,0.0,6397.84,0.4259
76,107,6305,Rear Bumper Cover,2837.89,Tail Light Assembly,2509.37,,,,,,,,,,,,,,,,,2,5347.26,0,0,0.0,0,0,0.0,5347.26,1.0
77,108,2539,Rear Bumper Cover,5239.04,,,,,,,,,Tail Light Assembly,2608.85,,,,,,,,,1,5239.04,0,1,2608.85,0,0,0.0,7847.89,0.6676
77,109,2539,Tail Light Assembly,1091.86,,,,,,,,,Rear Bumper Cover,3133.88,,,,,,,,,1,1091.86,0,1,3133.88,0,0,0.0,4225.74,0.2584
78,110,4677,Tail Light Assembly,1957.14,,,,,,,,,,,,,,,,,,,1,1957.14,0,0,0.0,0,0,0.0,1957.14,1.0
79,111,1574,,,,,,,,,,,Rear Bumper Cover,815.36,Tail Light Assembly,245.7,,,,,,,0,0.0,0,2,1061.06,0,0,0.0,1061.06,0.0
80,112,2838,,,,,,,,,,,Rear Bumper Cover,1006.8,Tail Light Assembly,676.02,,,,,,,0,0.0,0,2,1682.82,0,0,0.0,1682.82,0.0
81,113,487,,,,,,,,,,,Quarter Panel,1557.72,,,,,,,,,0,0.0,0,1,1557.72,0,0,0.0,1557.72,0.0
82,114,1068,Quarter Panel,831.42,,,,,,,,,,,,,,,,,,,1,831.42,0,0,0.0,0,1,276.46,1107.88,0.7505
82,115,1068,Rear Bumper Cover,691.3,Tail Light Assembly,496.56,,,,,,,,,,,,,,,,,2,1187.86,0,0,0.0,0,0,0.0,1187.86,1.0
83,116,2443,,,,,,,,,,,Grille,2945.13,,,,,,,,,0,0.0,0,1,2945.13,0,0,0.0,2945.13,0.0
83,117,2443,Headlight Assembly - Right,2694.89,Grille,1329.41,,,,,,,,,,,,,,,,,2,4024.3,0,0,0.0,0,0,0.0,4024.3,1.0
84,118,4599,Grille,1880.64,,,,,,,,,,,,,,,,,,,1,1880.64,0,0,0.0,0,0,0.0,1880.64,1.0
85,119,3961,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,2790.05,2790.05,0.0
85,120,3961,,,,,,,,,,,Quarter Panel,1266.83,Rear Bumper Cover,1253.69,,,,,,,0,0.0,0,2,2520.52,0,0,0.0,2520.52,0.0
86,121,407,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,705.39,705.39,0.0
87,122,2131,Quarter Panel,1574.31,,,,,,,,,Rear Bumper Cover,1069.78,,,,,,,,,1,1574.31,0,1,1069.78,0,0,0.0,2644.09,0.5954
88,123,2932,,,,,,,,,,,Quarter Panel,399.91,,,,,,,,,0,0.0,0,1,399.91,0,0,0.0,399.91,0.0
89,124,1679,,,,,,,,,,,Tail Light Assembly,1589.75,,,,,,,,,0,0.0,0,1,1589.75,0,0,0.0,1589.75,0.0
90,125,1832,Grille,1907.83,Headlight Assembly - Right,1498.96,,,,,,,,,,,,,,,,,2,3406.79,0,0,0.0,0,0,0.0,3406.79,1.0
91,126,2218,Grille,2581.52,,,,,,,,,,,,,,,,,,,1,2581.52,0,0,0.0,0,0,0.0,2581.52,1.0
92,127,5710,,,,,,,,,,,Windshield,1554.68,,,,,,,,,0,0.0,0,1,1554.68,0,0,0.0,1554.68,0.0
93,128,909,Tail Light Assembly,2206.3,,,,,,,,,,,,,,,,,,,1,2206.3,0,0,0.0,0,0,0.0,2206.3,1.0
93,129,909,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,1871.16,1871.16,0.0
94,130,6141,Headlight Assembly - Left,2635.63,,,,,,,,,,,,,,,,,,,1,2635.63,0,0,0.0,0,0,0.0,2635.63,1.0
94,131,6141,Front Fender - Left,1675.94,,,,,,,,,,,,,,,,,,,1,1675.94,0,0,0.0,0,0,0.0,1675.94,1.0
95,132,41,,,,,,,,,,,Rear Bumper Cover,389.22,,,,,,,,,0,0.0,0,1,389.22,0,0,0.0,389.22,0.0
96,133,3464,Grille,547.14,,,,,,,,,,,,,,,,,,,1,547.14,0,0,0.0,0,0,0.0,547.14,1.0
97,134,6627,Front Bumper Cover,1372.56,Headlight Assembly - Right,858.45,,,,,,,Grille,492.51,,,,,,,,,2,2231.01,0,1,492.51,0,0,0.0,2723.52,0.8192
98,135,1610,Headlight Assembly - Left,625.64,Grille,258.21,,,,,,,Front Bumper Cover,967.78,,,,,,,,,2,883.85,0,1,967.78,0,0,0.0,1851.63,0.4773
98,136,1610,Front Fender - Left,566.58,Grille,180.72,,,,,,,,,,,,,,,,,2,747.3,0,0,0.0,0,1,590.69,1337.99,0.5585
99,137,3610,Door Panel - Driver,3911.66,Front Fender - Left,1309.16,,,,,,,,,,,,,,,,,2,5220.82,0,0,0.0,0,0,0.0,5220.82,1.0
100,138,2325,Hood,1331.62,Headlight Assembly - Left,687.71,Grille,326.95,,,,,,,,,,,,,,,3,2346.28,0,0,0.0,0,0,0.0,2346.28,1.0
100,139,2325,Hood,1941.95,Grille,570.48,,,,,,,,,,,,,,,,,2,2512.43,0,0,0.0,0,0,0.0,2512.43,1.0
100,140,2325,Headlight Assembly - Right,1755.48,Headlight Assembly - Left,1662.52,,,,,,,,,,,,,,,,,2,3418.0,0,0,0.0,0,0,0.0,3418.0,1.0
101,141,3520,Quarter Panel,1014.61,,,,,,,,,Front Fender - Left,552.3,,,,,,,,,1,1014.61,0,1,552.3,0,0,0.0,1566.91,0.6475
102,142,583,Headlight Assembly - Left,3769.47,Front Fender - Left,2958.26,Grille,1180.97,,,,,,,,,,,,,,,3,7908.7,0,0,0.0,0,0,0.0,7908.7,1.0
103,143,2433,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,876.34,876.34,0.0
104,144,5863,Quarter Panel,663.84,Rear Bumper Cover,407.96,Tail Light Assembly,170.73,,,,,,,,,,,,,,,3,1242.53,0,0,0.0,0,0,0.0,1242.53,1.0
105,145,1959,,,,,,,,,,,Headlight Assembly - Right,1146.01,,,,,,,,,0,0.0,0,1,1146.01,0,0,0.0,1146.01,0.0
106,146,5638,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,1299.09,1299.09,0.0
107,147,3700,Headlight Assembly - Right,1225.8,,,,,,,,,,,,,,,,,,,1,1225.8,0,0,0.0,0,0,0.0,1225.8,1.0
108,148,596,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,884.21,884.21,0.0
108,149,596,Quarter Panel,820.94,,,,,,,,,,,,,,,,,,,1,820.94,0,0,0.0,0,0,0.0,820.94,1.0
109,150,2961,,,,,,,,,,,Quarter Panel,890.78,,,,,,,,,0,0.0,0,1,890.78,0,0,0.0,890.78,0.0
109,151,2961,,,,,,,,,,,Door Panel - Passenger,1172.14,,,,,,,,,0,0.0,0,1,1172.14,0,0,0.0,1172.14,0.0
109,152,2961,Quarter Panel,769.61,Door Panel - Passenger,585.84,,,,,,,,,,,,,,,,,2,1355.45,0,0,0.0,0,0,0.0,1355.45,1.0
110,153,5411,Grille,246.66,,,,,,,,,Front Bumper Cover,608.58,,,,,,,,,1,246.66,0,1,608.58,0,1,683.36,1538.6,0.1603
111,154,1645,Headlight Assembly - Right,1468.92,,,,,,,,,Front Fender - Right,952.73,,,,,,,,,1,1468.92,0,1,952.73,0,0,0.0,2421.65,0.6066
112,155,1480,Front Fender - Right,259.31,,,,,,,,,Quarter Panel,298.34,,,,,,,,,1,259.31,0,1,298.34,0,0,0.0,557.65,0.465
113,156,4591,Windshield,1641.43,Tail Light Assembly,705.85,,,,,,,,,,,,,,,,,2,2347.28,0,0,0.0,0,0,0.0,2347.28,1.0
114,157,4097,,,,,,,,,,,Quarter Panel,595.72,,,,,,,,,0,0.0,0,1,595.72,0,0,0.0,595.72,0.0
114,158,4097,Quarter Panel,553.45,,,,,,,,,Tail Light Assembly,103.72,,,,,,,,,1,553.45,0,1,103.72,0,0,0.0,657.17,0.8422
114,159,4097,,,,,,,,,,,Tail Light Assembly,1514.86,,,,,,,,,0,0.0,0,1,1514.86,0,0,0.0,1514.86,0.0
115,160,5000,,,,,,,,,,,Tail Light Assembly,1912.74,,,,,,,,,0,0.0,0,1,1912.74,0,0,0.0,1912.74,0.0
115,161,5000,,,,,,,,,,,Windshield,1363.3,,,,,,,,,0,0.0,0,1,1363.3,0,0,0.0,1363.3,0.0
116,162,2064,Door Panel - Passenger,1823.6,,,,,,,,,,,,,,,,,,,1,1823.6,0,0,0.0,0,0,0.0,1823.6,1.0
117,163,2878,,,,,,,,,,,Grille,1234.13,,,,,,,,,0,0.0,0,1,1234.13,0,0,0.0,1234.13,0.0
118,164,4500,,,,,,,,,,,Grille,758.72,,,,,,,,,0,0.0,0,1,758.72,0,0,0.0,758.72,0.0
119,165,3631,,,,,,,,,,,Grille,1885.77,,,,,,,,,0,0.0,0,1,1885.77,0,0,0.0,1885.77,0.0
120,166,5881,,,,,,,,,,,Tail Light Assembly,1431.85,,,,,,,,,0,0.0,0,1,1431.85,0,0,0.0,1431.85,0.0
121,167,1562,Tail Light Assembly,2339.76,,,,,,,,,Rear Bumper Cover,2898.26,,,,,,,,,1,2339.76,0,1,2898.26,0,0,0.0,5238.02,0.4467
121,168,1562,Tail Light Assembly,10297.5,,,,,,,,,,,,,,,,,,,1,10297.5,0,0,0.0,0,0,0.0,10297.5,1.0
121,169,1562,Rear Bumper Cover,5503.49,Tail Light Assembly,2265.31,,,,,,,,,,,,,,,,,2,7768.8,0,0,0.0,0,0,0.0,7768.8,1.0
122,170,5208,,,,,,,,,,,Headlight Assembly - Left,731.2,,,,,,,,,0,0.0,0,1,731.2,0,0,0.0,731.2,0.0
123,171,3368,Door Panel - Driver,708.68,,,,,,,,,,,,,,,,,,,1,708.68,0,0,0.0,0,0,0.0,708.68,1.0
123,172,3368,Door Panel - Driver,772.89,,,,,,,,,,,,,,,,,,,1,772.89,0,0,0.0,0,0,0.0,772.89,1.0
123,173,3368,,,,,,,,,,,Door Panel - Driver,1280.99,,,,,,,,,0,0.0,0,1,1280.99,0,0,0.0,1280.99,0.0
124,174,710,Headlight Assembly - Right,447.8,,,,,,,,,Front Fender - Right,866.07,Front Bumper Cover,607.51,,,,,,,1,447.8,0,2,1473.58,0,0,0.0,1921.38,0.2331
125,175,6174,Quarter Panel,1228.51,,,,,,,,,Rear Bumper Cover,328.42,,,,,,,,,1,1228.51,0,1,328.42,0,0,0.0,1556.93,0.7891
125,176,6174,Quarter Panel,796.89,Rear Bumper Cover,437.14,Tail Light Assembly,355.86,,,,,,,,,,,,,,,3,1589.89,0,0,0.0,0,0,0.0,1589.89,1.0
126,177,3550,Rear Bumper Cover,944.73,Quarter Panel,878.15,Tail Light Assembly,182.39,,,,,,,,,,,,,,,3,2005.27,0,0,0.0,0,0,0.0,2005.27,1.0
127,178,4335,Tail Light Assembly,2183.4,,,,,,,,,,,,,,,,,,,1,2183.4,0,0,0.0,0,0,0.0,2183.4,1.0
128,179,4746,Front Fender - Right,705.5,,,,,,,,,,,,,,,,,,,1,705.5,0,0,0.0,0,0,0.0,705.5,1.0
