line_item_id,claim_id,repair_id,vehicle_id,line_item_type,description,part_type,quantity,unit_cost,labor_hours,labor_rate,labor_type,line_total,part_action,part_action_is_synthetic
93,11,14,4916,Sales Tax,Sales Tax (IL 6.25%),,,205.03,,,,205.03,,False
94,12,15,2016,Part,Tail Light Assembly,OEM,1.0,764.87,,,,764.87,Repaired,True
95,12,15,2016,Labor,R&I / Replace - Tail Light Assembly,,,,0.45,232.05,Body,104.98,,False
96,12,15,2016,Part,Rear Bumper Cover,OEM,1.0,1361.14,,,,1361.14,Replaced,True
97,12,15,2016,Labor,R&I / Replace - Rear Bumper Cover,,,,1.63,227.34,Body,371.26,,False
98,12,15,2016,Paint Labor,Refinish - Rear Bumper Cover,,,,1.77,220.53,Paint,389.74,,False
99,12,15,2016,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,253.6,,,,253.6,,False
100,12,15,2016,Towing,Flatbed Tow - 36mi,,1.0,348.61,,,,348.61,,False
101,12,15,2016,Administrative Fee,Shop Supplies / Admin Fee,,,51.38,,,,51.38,,False
102,12,15,2016,Sales Tax,Sales Tax (PA 6.00%),,,127.56,,,,127.56,,False
103,13,16,4118,Part,Tail Light Assembly,Aftermarket,1.0,2686.88,,,,2686.88,Repaired,True
104,13,16,4118,Labor,R&I / Replace - Tail Light Assembly,,,,0.93,638.72,Body,596.68,,False
105,13,16,4118,Part,Quarter Panel,Aftermarket,1.0,9576.2,,,,9576.2,Replaced,True
106,13,16,4118,Labor,R&I / Replace - Quarter Panel,,,,14.12,1097.05,Frame,15488.35,,False
107,13,16,4118,Towing,Flatbed Tow - 8mi,,1.0,146.44,,,,146.44,,False
108,13,16,4118,Administrative Fee,Shop Supplies / Admin Fee,,,58.85,,,,58.85,,False
109,13,16,4118,Sales Tax,Sales Tax (IL 6.25%),,,766.44,,,,766.44,,False
110,14,17,5491,Part,Front Fender - Right,Aftermarket,1.0,663.05,,,,663.05,Repaired,True
111,14,17,5491,Labor,R&I / Replace - Front Fender - Right,,,,1.25,197.28,Body,246.56,,False
112,14,17,5491,Paint Labor,Refinish - Front Fender - Right,,,,0.71,178.22,Paint,126.11,,False
113,14,17,5491,Paint Materials,Paint Materials - Front Fender - Right,,1.0,63.87,,,,63.87,,False
114,14,17,5491,Towing,Flatbed Tow - 24mi,,1.0,268.12,,,,268.12,,False
115,14,17,5491,Administrative Fee,Shop Supplies / Admin Fee,,,41.64,,,,41.64,,False
116,14,17,5491,Sales Tax,Sales Tax (NY 8.00%),,,53.04,,,,53.04,,False
117,14,18,5491,Part,Front Fender - Right,Aftermarket,1.0,523.43,,,,523.43,Replaced,True
118,14,18,5491,Labor,R&I / Replace - Front Fender - Right,,,,1.13,196.14,Body,221.95,,False
119,14,18,5491,Paint Labor,Refinish - Front Fender - Right,,,,0.99,183.15,Paint,181.39,,False
120,14,18,5491,Paint Materials,Paint Materials - Front Fender - Right,,1.0,108.72,,,,108.72,,False
121,14,18,5491,Rental/LOU,Rental Car - 3 days,,3.0,52.03,,,,156.08,,False
122,14,18,5491,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,108.31,,,,108.31,,False
123,14,18,5491,Administrative Fee,Shop Supplies / Admin Fee,,,57.07,,,,57.07,,False
124,14,18,5491,Sales Tax,Sales Tax (NY 8.00%),,,41.87,,,,41.87,,False
125,14,19,5491,Part,Front Fender - Right,Aftermarket,1.0,483.23,,,,483.23,Repaired,True
126,14,19,5491,Labor,R&I / Replace - Front Fender - Right,,,,1.62,173.27,Body,279.98,,False
127,14,19,5491,Paint Labor,Refinish - Front Fender - Right,,,,1.03,145.91,Paint,149.82,,False
128,14,19,5491,Paint Materials,Paint Materials - Front Fender - Right,,1.0,97.03,,,,97.03,,False
129,14,19,5491,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,104.83,,,,104.83,,False
130,14,19,5491,Administrative Fee,Shop Supplies / Admin Fee,,,45.71,,,,45.71,,False
131,14,19,5491,Sales Tax,Sales Tax (NY 8.00%),,,38.66,,,,38.66,,False
132,15,20,2032,Part,Headlight Assembly - Right,OEM,1.0,1273.1,,,,1273.1,Replaced,True
133,15,20,2032,Labor,R&I / Replace - Headlight Assembly - Right,,,,0.49,226.71,Body,112.21,,False
134,15,20,2032,Towing,Flatbed Tow - 15mi,,1.0,168.68,,,,168.68,,False
135,15,20,2032,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,133.77,,,,133.77,,False
136,15,20,2032,Sales Tax,Sales Tax (IL 6.25%),,,79.57,,,,79.57,,False
137,16,21,1806,Part,Hood,OEM,1.0,1197.47,,,,1197.47,Replaced,True
138,16,21,1806,Labor,R&I / Replace - Hood,,,,0.81,147.32,Body,118.96,,False
139,16,21,1806,Paint Labor,Refinish - Hood,,,,0.86,131.05,Paint,112.91,,False
140,16,21,1806,Paint Materials,Paint Materials - Hood,,1.0,81.46,,,,81.46,,False
141,16,21,1806,Administrative Fee,Shop Supplies / Admin Fee,,,59.06,,,,59.06,,False
142,16,21,1806,Sales Tax,Sales Tax (CA 7.25%),,,86.82,,,,86.82,,False
143,17,22,1440,Part,Quarter Panel,Aftermarket,1.0,544.53,,,,544.53,Repaired,True
144,17,22,1440,Labor,R&I / Replace - Quarter Panel,,,,5.4,136.11,Frame,735.13,,False
145,17,22,1440,Paint Labor,Refinish - Quarter Panel,,,,0.77,75.93,Paint,58.17,,False
146,17,22,1440,Paint Materials,Paint Materials - Quarter Panel,,1.0,32.24,,,,32.24,,False
147,17,22,1440,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,141.27,,,,141.27,,False
148,17,22,1440,Administrative Fee,Shop Supplies / Admin Fee,,,63.7,,,,63.7,,False
149,17,22,1440,Sales Tax,Sales Tax (CA 7.25%),,,39.48,,,,39.48,,False
150,18,23,3009,Part,Grille,Aftermarket,1.0,636.95,,,,636.95,Replaced,True
151,18,23,3009,Labor,R&I / Replace - Grille,,,,1.06,383.21,Body,407.42,,False
152,18,23,3009,Paint Labor,Refinish - Grille,,,,3.66,430.2,Paint,1574.36,,False
153,18,23,3009,Paint Materials,Paint Materials - Grille,,1.0,1079.27,,,,1079.27,,False
154,18,23,3009,Part,Headlight Assembly - Left,Used/Recycled,1.0,745.04,,,,745.04,Reused,True
155,18,23,3009,Labor,R&I / Replace - Headlight Assembly - Left,,,,1.0,371.96,Body,370.71,,False
156,18,23,3009,Towing,Flatbed Tow - 24mi,,1.0,226.5,,,,226.5,,False
157,18,23,3009,Rental/LOU,Rental Car - 19 days,,19.0,33.8,,,,642.2,,False
158,18,23,3009,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,143.84,,,,143.84,,False
159,18,23,3009,Administrative Fee,Shop Supplies / Admin Fee,,,38.83,,,,38.83,,False
160,18,23,3009,Sales Tax,Sales Tax (FL 6.00%),,,82.92,,,,82.92,,False
161,19,24,2041,Part,Tail Light Assembly,OEM,1.0,804.81,,,,804.81,Repaired,True
162,19,24,2041,Labor,R&I / Replace - Tail Light Assembly,,,,0.36,149.33,Body,54.28,,False
163,19,24,2041,Part,Rear Bumper Cover,Used/Recycled,1.0,711.97,,,,711.97,Repaired,True
164,19,24,2041,Labor,R&I / Replace - Rear Bumper Cover,,,,1.27,139.19,Body,176.95,,False
165,19,24,2041,Paint Labor,Refinish - Rear Bumper Cover,,,,0.81,127.13,Paint,102.68,,False
166,19,24,2041,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,67.86,,,,67.86,,False
167,19,24,2041,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,105.0,,,,105.0,,False
168,19,24,2041,Administrative Fee,Shop Supplies / Admin Fee,,,30.01,,,,30.01,,False
169,19,24,2041,Sales Tax,Sales Tax (IL 6.25%),,,94.8,,,,94.8,,False
170,20,25,5621,Part,Headlight Assembly - Left,Aftermarket,1.0,810.01,,,,810.01,Repaired,True
171,20,25,5621,Labor,R&I / Replace - Headlight Assembly - Left,,,,0.37,290.88,Body,106.86,,False
172,20,25,5621,Storage,Storage - 4 days,,4.0,62.37,,,,249.49,,False
173,20,25,5621,Administrative Fee,Shop Supplies / Admin Fee,,,66.7,,,,66.7,,False
174,20,25,5621,Sales Tax,Sales Tax (CA 7.25%),,,58.73,,,,58.73,,False
175,21,26,1153,Part,Quarter Panel,Aftermarket,1.0,649.62,,,,649.62,Replaced,True
176,21,26,1153,Labor,R&I / Replace - Quarter Panel,,,,7.46,177.43,Frame,1323.02,,False
177,21,26,1153,Paint Labor,Refinish - Quarter Panel,,,,1.39,121.58,Paint,169.3,,False
178,21,26,1153,Paint Materials,Paint Materials - Quarter Panel,,1.0,83.69,,,,83.69,,False
179,21,26,1153,Storage,Storage - 5 days,,5.0,71.09,,,,355.44,,False
180,21,26,1153,Rental/LOU,Rental Car - 9 days,,9.0,47.12,,,,424.06,,False
181,21,26,1153,Administrative Fee,Shop Supplies / Admin Fee,,,162.29,,,,162.29,,False
182,21,27,1153,Part,Tail Light Assembly,OEM,1.0,1392.8,,,,1392.8,Replaced,True
183,21,27,1153,Labor,R&I / Replace - Tail Light Assembly,,,,0.5,609.72,Body,305.17,,False
184,21,27,1153,Towing,Flatbed Tow - 6mi,,1.0,121.15,,,,121.15,,False
185,21,27,1153,Rental/LOU,Rental Car - 8 days,,8.0,38.31,,,,306.48,,False
186,21,27,1153,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,127.93,,,,127.93,,False
187,21,27,1153,Administrative Fee,Shop Supplies / Admin Fee,,,111.27,,,,111.27,,False
188,21,27,1153,Sales Tax,Sales Tax (PA 6.00%),,,83.57,,,,83.57,,False
189,22,28,1684,Part,Tail Light Assembly,OEM,1.0,571.84,,,,571.84,Replaced,True
190,22,28,1684,Labor,R&I / Replace - Tail Light Assembly,,,,0.51,130.03,Body,66.23,,False
191,22,28,1684,Part,Windshield,OEM,1.0,1384.65,,,,1384.65,Replaced,True
192,22,28,1684,Labor,R&I / Replace - Windshield,,,,1.02,142.24,Glass,145.08,,False
193,22,28,1684,Part,Rear Bumper Cover,Aftermarket,1.0,549.44,,,,549.44,Repaired,True
194,22,28,1684,Labor,R&I / Replace - Rear Bumper Cover,,,,2.06,131.0,Body,269.98,,False
195,22,28,1684,Paint Labor,Refinish - Rear Bumper Cover,,,,1.89,119.51,Paint,225.4,,False
196,22,28,1684,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,148.62,,,,148.62,,False
197,22,28,1684,Administrative Fee,Shop Supplies / Admin Fee,,,219.6,,,,219.6,,False
198,22,28,1684,Sales Tax,Sales Tax (PA 6.00%),,,150.36,,,,150.36,,False
199,23,29,1691,Part,Rear Bumper Cover,OEM,1.0,5429.83,,,,5429.83,Replaced,True
200,23,29,1691,Labor,R&I / Replace - Rear Bumper Cover,,,,3.55,395.78,Body,1405.65,,False
201,23,29,1691,Paint Labor,Refinish - Rear Bumper Cover,,,,2.46,375.38,Paint,924.25,,False
202,23,29,1691,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,661.84,,,,661.84,,False
203,23,29,1691,Part,Tail Light Assembly,Used/Recycled,1.0,1094.65,,,,1094.65,Repaired,True
204,23,29,1691,Labor,R&I / Replace - Tail Light Assembly,,,,0.6,379.23,Body,226.02,,False
205,23,29,1691,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,125.2,,,,125.2,,False
206,23,29,1691,Administrative Fee,Shop Supplies / Admin Fee,,,467.11,,,,467.11,,False
207,23,29,1691,Sales Tax,Sales Tax (CA 7.25%),,,473.02,,,,473.02,,False
208,23,30,1691,Part,Quarter Panel,OEM,1.0,3781.08,,,,3781.08,Replaced,True
209,23,30,1691,Labor,R&I / Replace - Quarter Panel,,,,10.39,299.38,Frame,3109.6,,False
210,23,30,1691,Paint Labor,Refinish - Quarter Panel,,,,1.95,174.25,Paint,339.39,,False
211,23,30,1691,Paint Materials,Paint Materials - Quarter Panel,,1.0,212.46,,,,212.46,,False
212,23,30,1691,Part,Tail Light Assembly,Aftermarket,1.0,710.98,,,,710.98,Replaced,True
213,23,30,1691,Labor,R&I / Replace - Tail Light Assembly,,,,0.68,186.28,Body,127.25,,False
214,23,30,1691,Towing,Flatbed Tow - 16mi,,1.0,211.42,,,,211.42,,False
215,23,30,1691,Rental/LOU,Rental Car - 9 days,,9.0,42.43,,,,381.85,,False
216,23,30,1691,Administrative Fee,Shop Supplies / Admin Fee,,,620.01,,,,620.01,,False
217,24,31,1852,Part,Door Panel - Driver,OEM,1.0,761.32,,,,761.32,Repaired,True
218,24,31,1852,Labor,R&I / Replace - Door Panel - Driver,,,,3.07,115.13,Body,353.12,,False
219,24,31,1852,Paint Labor,Refinish - Door Panel - Driver,,,,0.67,88.47,Paint,59.11,,False
220,24,31,1852,Paint Materials,Paint Materials - Door Panel - Driver,,1.0,34.86,,,,34.86,,False
221,24,31,1852,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,132.14,,,,132.14,,False
222,24,31,1852,Administrative Fee,Shop Supplies / Admin Fee,,,77.64,,,,77.64,,False
223,24,31,1852,Sales Tax,Sales Tax (OH 5.75%),,,43.78,,,,43.78,,False
224,24,32,1852,Part,Front Fender - Left,Aftermarket,1.0,534.74,,,,534.74,Repaired,True
225,24,32,1852,Labor,R&I / Replace - Front Fender - Left,,,,1.16,201.72,Body,234.22,,False
226,24,32,1852,Paint Labor,Refinish - Front Fender - Left,,,,1.36,214.38,Paint,292.46,,False
227,24,32,1852,Paint Materials,Paint Materials - Front Fender - Left,,1.0,145.54,,,,145.54,,False
228,24,32,1852,Rental/LOU,Rental Car - 1 days,,1.0,37.23,,,,37.23,,False
229,24,32,1852,Administrative Fee,Shop Supplies / Admin Fee,,,76.97,,,,76.97,,False
230,24,32,1852,Sales Tax,Sales Tax (OH 5.75%),,,30.75,,,,30.75,,False
231,25,33,4178,Part,Tail Light Assembly,OEM,1.0,441.85,,,,441.85,Replaced,True
232,25,33,4178,Labor,R&I / Replace - Tail Light Assembly,,,,0.55,162.82,Body,89.01,,False
233,25,33,4178,Part,Rear Bumper Cover,Aftermarket,1.0,523.16,,,,523.16,Replaced,True
234,25,33,4178,Labor,R&I / Replace - Rear Bumper Cover,,,,2.01,185.34,Body,372.09,,False
235,25,33,4178,Paint Labor,Refinish - Rear Bumper Cover,,,,2.23,170.48,Paint,380.71,,False
236,25,33,4178,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,191.76,,,,191.76,,False
237,25,33,4178,Rental/LOU,Rental Car - 10 days,,10.0,37.88,,,,378.84,,False
238,25,33,4178,Sales Tax,Sales Tax (NY 8.00%),,,77.2,,,,77.2,,False
239,26,34,1849,Part,Front Fender - Left,Used/Recycled,1.0,1411.78,,,,1411.78,Replaced,True
240,26,34,1849,Labor,R&I / Replace - Front Fender - Left,,,,2.38,482.92,Body,1150.13,,False
241,26,34,1849,Paint Labor,Refinish - Front Fender - Left,,,,3.82,541.8,Paint,2069.33,,False
242,26,34,1849,Paint Materials,Paint Materials - Front Fender - Left,,1.0,1187.15,,,,1187.15,,False
243,26,34,1849,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,145.0,,,,145.0,,False
244,26,34,1849,Administrative Fee,Shop Supplies / Admin Fee,,,390.54,,,,390.54,,False
245,26,34,1849,Sales Tax,Sales Tax (IL 6.25%),,,88.24,,,,88.24,,False
246,26,35,1849,Part,Quarter Panel,OEM,1.0,1145.81,,,,1145.81,Replaced,True
247,26,35,1849,Labor,R&I / Replace - Quarter Panel,,,,11.29,172.61,Frame,1949.39,,False
248,26,35,1849,Paint Labor,Refinish - Quarter Panel,,,,3.42,100.29,Paint,343.26,,False
249,26,35,1849,Paint Materials,Paint Materials - Quarter Panel,,1.0,236.94,,,,236.94,,False
250,26,35,1849,Part,Front Fender - Left,OEM,1.0,757.83,,,,757.83,Replaced,True
251,26,35,1849,Labor,R&I / Replace - Front Fender - Left,,,,2.49,111.3,Body,277.0,,False
252,26,35,1849,Paint Labor,Refinish - Front Fender - Left,,,,3.02,113.99,Paint,344.67,,False
253,26,35,1849,Paint Materials,Paint Materials - Front Fender - Left,,1.0,170.88,,,,170.88,,False
254,26,35,1849,Towing,Flatbed Tow - 8mi,,1.0,131.59,,,,131.59,,False
255,26,35,1849,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,90.63,,,,90.63,,False
256,26,35,1849,Sales Tax,Sales Tax (IL 6.25%),,,118.98,,,,118.98,,False
257,26,36,1849,Part,Front Fender - Left,Reconditioned,1.0,418.27,,,,418.27,Replaced,True
258,26,36,1849,Labor,R&I / Replace - Front Fender - Left,,,,3.75,142.59,Body,534.75,,False
259,26,36,1849,Paint Labor,Refinish - Front Fender - Left,,,,2.77,126.34,Paint,350.4,,False
260,26,36,1849,Paint Materials,Paint Materials - Front Fender - Left,,1.0,249.04,,,,249.04,,False
261,26,36,1849,Part,Quarter Panel,OEM,1.0,1603.02,,,,1603.02,Repaired,True
262,26,36,1849,Labor,R&I / Replace - Quarter Panel,,,,7.67,225.23,Frame,1728.31,,False
263,26,36,1849,Paint Labor,Refinish - Quarter Panel,,,,1.38,132.01,Paint,182.33,,False
264,26,36,1849,Paint Materials,Paint Materials - Quarter Panel,,1.0,140.93,,,,140.93,,False
265,26,36,1849,Towing,Flatbed Tow - 38mi,,1.0,373.82,,,,373.82,,False
266,26,36,1849,Rental/LOU,Rental Car - 13 days,,13.0,37.14,,,,482.86,,False
267,26,36,1849,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,142.76,,,,142.76,,False
268,26,36,1849,Administrative Fee,Shop Supplies / Admin Fee,,,203.41,,,,203.41,,False
269,26,36,1849,Sales Tax,Sales Tax (IL 6.25%),,,126.33,,,,126.33,,False
270,27,37,1870,Part,Front Fender - Left,OEM,1.0,878.49,,,,878.49,Repaired,True
271,27,37,1870,Labor,R&I / Replace - Front Fender - Left,,,,2.08,247.8,Body,515.66,,False
272,27,37,1870,Paint Labor,Refinish - Front Fender - Left,,,,1.36,240.74,Paint,327.06,,False
273,27,37,1870,Paint Materials,Paint Materials - Front Fender - Left,,1.0,223.19,,,,223.19,,False
274,27,37,1870,Rental/LOU,Rental Car - 5 days,,5.0,38.92,,,,194.62,,False
275,27,37,1870,Administrative Fee,Shop Supplies / Admin Fee,,,74.2,,,,74.2,,False
276,27,37,1870,Sales Tax,Sales Tax (CA 7.25%),,,63.69,,,,63.69,,False
277,28,38,4142,Part,Headlight Assembly - Left,Aftermarket,1.0,2376.45,,,,2376.45,Repaired,True
