repair_id,claim_id,vehicle_id,repair_shop_contact_id,estimate_amount,approved_amount,invoice_amount,paid_amount,repair_start_date,repair_end_date,repair_status,make,model,vehicle_year,claim_status,claim_severity,loss_cause,incident_type,damage_severity,incident_state,liability_percentage,coverage_type,exposure_status,is_repeat_vehicle,is_synthetic_anomaly,anomaly_type,vehicle_claim_count,repair_duration_days,vehicle_age,invoice_vs_estimate_ratio,invoice_vs_approved_ratio,duplicate_flag
20,17,5661,208,6361.15,6177.61,7307.52,6130.85,2025-06-14,2025-06-29,Completed,Ford,F-150,2013,Closed,Medium,Rear-end Collision,Vehicle Accident,Severe,NY,94.9302450595824,Liability,Closed,False,False,,1,15,13,1.1487734136123187,1.182904068078108,False
21,18,3800,42,2744.03,2817.49,2694.26,2734.42,2025-10-09,2025-10-18,In Progress,Jeep,Grand Cherokee,2017,Open,Low,Rollover,Vehicle Accident,Moderate,PA,88.74283810398562,Liability,Closed,False,False,,1,9,9,0.981862443194863,0.9562624889529334,False
22,19,6011,52,1439.21,1323.63,1297.51,1298.31,2026-07-04,2026-07-12,Completed,Hyundai,Elantra,2008,Open,Medium,Rear-end Collision,Vehicle Accident,Moderate,CA,99.73767130800744,Liability,Open,False,False,,1,8,18,0.9015432077320196,0.9802663886433519,False
23,19,6011,52,1882.01,1766.2,1744.43,1870.74,2026-07-04,2026-07-12,Completed,Hyundai,Elantra,2008,Open,Medium,Rear-end Collision,Vehicle Accident,Moderate,CA,99.73767130800744,Liability,Open,False,False,,1,8,18,0.9268973066030468,0.9876741025931378,False
24,20,3836,197,1957.8,2029.42,2274.62,1990.41,2026-03-17,2026-03-20,Completed,Toyota,Corolla,2021,Closed,Low,Side Impact,Vehicle Accident,Moderate,NJ,100.0,Liability,Open,False,False,,1,3,5,1.1618244968842577,1.1208226981107903,False
25,21,6063,59,6464.94,6219.14,6095.43,6052.29,2025-08-23,2025-09-27,In Progress,Toyota,Corolla,2012,Closed,Low,Weather Related,Vehicle Accident,Total Loss,TX,60.32185710265904,Liability,Closed,False,False,,1,35,14,0.942844017113848,0.9801081821602343,False
26,22,1746,156,6392.14,6470.59,5940.6,6132.17,2026-01-20,2026-02-20,Completed,Hyundai,Elantra,2017,Closed,High,Head-on Collision,Vehicle Accident,Total Loss,GA,100.0,Liability,Closed,False,False,,1,31,9,0.9293601203978636,0.91809247688387,False
27,23,7416,89,3258.45,2974.44,3420.31,2851.58,2025-04-20,2025-04-23,In Progress,Honda,CR-V,2012,Open,Medium,Parking Lot Incident,Vehicle Accident,Moderate,PA,95.9812816896551,Liability,Open,False,False,,1,3,14,1.049673924718808,1.1499004854695338,False
28,24,2416,137,1057.07,1091.84,1162.73,1106.37,2025-11-01,2025-11-04,Scheduled,Toyota,Corolla,2013,Open,Medium,Side Impact,Vehicle Accident,Minor,FL,100.0,Liability,Closed,False,False,,1,3,13,1.0999555374762315,1.0649270955451349,False
29,25,2636,193,1900.43,1686.12,1911.06,1673.0,2025-02-21,2025-03-05,In Progress,Toyota,Camry,2024,Closed,Low,Side Impact,Vehicle Accident,Moderate,FL,100.0,Liability,Closed,False,False,,1,12,2,1.005593470951311,1.1334068749555193,False
31,27,477,107,1320.51,1292.88,1346.58,1294.3,2026-06-16,2026-06-19,Completed,Ford,F-150,2015,Open,Low,Weather Related,Vehicle Accident,Minor,OH,91.93444596018642,Liability,Open,True,False,,2,3,11,1.0197423722652612,1.0415351772786337,False
34,29,3043,106,2772.34,2689.47,2346.87,2353.62,2026-03-19,2026-03-26,Completed,Jeep,Grand Cherokee,2010,Reopened,Low,Weather Related,Vehicle Accident,Moderate,NJ,82.37506909165809,Liability,Closed,False,False,,1,7,16,0.8465303678480993,0.8726143069080525,False
35,29,3043,106,3411.07,3196.28,3296.73,3194.19,2026-03-19,2026-03-26,Completed,Jeep,Grand Cherokee,2010,Reopened,Low,Weather Related,Vehicle Accident,Moderate,NJ,82.37506909165809,Liability,Closed,False,False,,1,7,16,0.9664797263028903,1.0314271590724216,False
38,31,2087,104,8125.35,7181.88,7529.64,7124.55,2025-04-26,2025-05-19,Completed,Toyota,Camry,2008,Open,Low,Rear-end Collision,Vehicle Accident,Total Loss,OH,77.50913040500257,Liability,Under Review,False,False,,1,23,18,0.9266850043382746,1.0484218616852412,True
39,31,2087,104,7599.48,7518.55,7507.19,7426.66,2025-04-26,2025-05-19,In Progress,Toyota,Camry,2008,Open,Low,Rear-end Collision,Vehicle Accident,Total Loss,OH,77.50913040500257,Liability,Under Review,False,False,,1,23,18,0.9878557480248649,0.9984890703659615,True
42,34,4581,189,3675.81,3498.53,4984.19,3646.88,2026-04-16,2026-05-04,Completed,Honda,Civic,2008,Open,Medium,Head-on Collision,Vehicle Accident,Severe,OH,96.6848730791985,Liability,Open,False,False,,1,18,18,1.3559433158949998,1.4246526398230113,True
43,34,4581,189,4152.07,3659.89,4895.83,3639.17,2026-04-16,2026-05-04,Completed,Honda,Civic,2008,Open,Medium,Head-on Collision,Vehicle Accident,Severe,OH,96.6848730791985,Liability,Open,False,False,,1,18,18,1.1791299279636422,1.3376986740038634,True
44,34,4581,189,2992.37,2878.95,3868.16,2897.57,2026-04-16,2026-05-04,In Progress,Honda,Civic,2008,Open,Medium,Head-on Collision,Vehicle Accident,Severe,OH,96.6848730791985,Liability,Open,False,False,,1,18,18,1.2926743684771602,1.3436009656298304,False
45,35,2380,11,775.93,693.25,732.85,708.06,2026-01-05,2026-01-08,Completed,Hyundai,Elantra,2019,Closed,Low,Parking Lot Incident,Vehicle Accident,Minor,IL,100.0,Liability,Closed,False,False,,1,3,7,0.9444795277924556,1.0571222502704651,False
46,36,462,18,1215.1,1218.67,1179.8,1170.67,2025-07-06,2025-07-10,Completed,Honda,CR-V,2008,Reopened,Low,Rear-end Collision,Vehicle Accident,Minor,NC,99.0487088982493,Liability,Open,False,False,,1,4,18,0.9709488930952186,0.9681045730181262,False
47,37,1665,21,4441.89,4451.36,4577.66,4538.11,2026-04-30,2026-05-19,In Progress,Honda,CR-V,2009,Closed,High,Head-on Collision,Vehicle Accident,Severe,NJ,58.48989417222592,Liability,Closed,False,False,,1,19,17,1.0305658177037251,1.0283733510657418,False
49,39,4902,104,5867.48,5390.01,5859.03,4915.58,2025-08-05,2025-08-20,In Progress,Ford,F-150,2020,Closed,Medium,Rear-end Collision,Vehicle Accident,Severe,PA,92.79458689036312,Liability,Open,False,False,,1,15,6,0.9985598587468556,1.0870165361474282,False
50,40,3434,67,1278.06,1170.85,1198.94,1221.19,2025-08-02,2025-08-03,In Progress,Toyota,Camry,2023,Open,Low,Hit and Run,Vehicle Accident,Minor,CA,81.34057782341176,Liability,Closed,False,False,,1,1,3,0.9380936732234795,1.023991117564163,False
51,41,1008,58,13953.95,12793.24,14599.2,12399.85,2026-01-09,2026-02-07,Scheduled,Tesla,Model 3,2013,Open,Medium,Weather Related,Vehicle Accident,Total Loss,TX,53.6349960932711,Liability,Open,False,False,,1,29,13,1.0462413868474518,1.141165177859557,False
52,41,1008,58,14156.02,13430.09,16679.31,13646.32,2026-01-09,2026-02-07,Completed,Tesla,Model 3,2013,Open,Medium,Weather Related,Vehicle Accident,Total Loss,TX,53.6349960932711,Liability,Open,False,False,,1,29,13,1.1782485472611652,1.2419358321500453,False
58,46,5076,206,1141.03,985.09,1283.34,962.68,2026-05-24,2026-05-28,In Progress,Toyota,Corolla,2019,Closed,Medium,Side Impact,Vehicle Accident,Minor,NY,100.0,Liability,Closed,False,False,,1,4,7,1.1247206471346065,1.3027642144372593,False
59,47,3477,145,2717.44,2652.48,2120.52,2073.66,2025-08-17,2025-08-19,Scheduled,Honda,CR-V,2021,Closed,High,Weather Related,Vehicle Accident,Moderate,IL,90.02671107776054,Liability,Closed,False,False,,1,2,5,0.7803373763542157,0.799448063698878,False
61,49,7625,71,1956.54,2040.7,1986.26,1949.33,2025-05-04,2025-05-10,In Progress,Nissan,Altima,2020,Open,High,Rear-end Collision,Vehicle Accident,Moderate,IL,76.17075699729959,Liability,Closed,False,False,,1,6,6,1.015190080448138,0.973322879404126,False
62,50,1912,159,996.13,942.9,924.44,970.27,2026-06-11,2026-06-12,Completed,Toyota,Corolla,2008,Reopened,High,Rear-end Collision,Vehicle Accident,Minor,PA,84.50867322298124,Liability,Closed,False,False,,1,1,18,0.9280314818347003,0.9804221020256656,False
71,56,447,116,2884.12,2614.07,2561.47,2592.85,2026-01-23,2026-01-24,Completed,BMW,X5,2017,Closed,Medium,Weather Related,Vehicle Accident,Minor,CA,100.0,Liability,Open,False,False,,1,1,9,0.8881287879838564,0.9798781210908658,False
72,57,4430,195,1015.28,1013.6,864.83,843.24,2025-03-10,2025-03-16,Completed,Honda,Civic,2015,Closed,Low,Parking Lot Incident,Vehicle Accident,Minor,TX,100.0,Liability,Closed,False,False,,1,6,11,0.8518142778346861,0.8532261247040253,True
73,57,4430,195,930.57,896.49,879.78,855.75,2025-03-10,2025-03-16,Completed,Honda,Civic,2015,Closed,Low,Parking Lot Incident,Vehicle Accident,Minor,TX,100.0,Liability,Closed,False,False,,1,6,11,0.9454205486959605,0.9813606398286651,True
76,60,7772,51,3275.08,3093.64,3016.05,3031.68,2026-03-08,2026-03-26,Completed,Honda,Civic,2009,Open,Medium,Rear-end Collision,Vehicle Accident,Severe,TX,80.46137509988209,Liability,Closed,False,False,,1,18,17,0.920908802227732,0.97491951228973,True
77,60,7772,51,4103.19,3956.77,4015.53,3900.62,2026-03-08,2026-03-26,Completed,Honda,Civic,2009,Open,Medium,Rear-end Collision,Vehicle Accident,Severe,TX,80.46137509988209,Liability,Closed,False,False,,1,18,17,0.9786361343247573,1.014850496743556,False
79,62,5754,25,5851.75,5030.59,6304.24,4855.36,2025-01-13,2025-01-29,Scheduled,BMW,3 Series,2011,Closed,Medium,Side Impact,Vehicle Accident,Severe,FL,90.1590410604477,Liability,Under Review,False,False,,1,16,15,1.0773255863630538,1.2531810384070257,False
81,64,1021,129,2426.06,2378.65,2529.57,2373.04,2025-07-27,2025-08-02,In Progress,Ford,F-150,2011,Reopened,Low,Side Impact,Vehicle Accident,Moderate,FL,100.0,Liability,Open,False,False,,1,6,15,1.0426658862517828,1.0634477539780969,False
82,64,1021,129,2529.99,2270.08,2073.79,2130.35,2025-07-27,2025-08-02,Completed,Ford,F-150,2011,Reopened,Low,Side Impact,Vehicle Accident,Moderate,FL,100.0,Liability,Open,False,False,,1,6,15,0.8196830817513113,0.9135316817028475,False
83,64,1021,129,2552.17,2483.18,2182.21,2235.77,2025-07-27,2025-08-02,Completed,Ford,F-150,2011,Reopened,Low,Side Impact,Vehicle Accident,Moderate,FL,100.0,Liability,Open,False,False,,1,6,15,0.8550410043218124,0.8787965431422612,False
84,65,7379,203,1386.33,1314.58,1422.37,1336.11,2026-04-10,2026-04-12,Completed,Honda,CR-V,2008,Open,Medium,Rear-end Collision,Vehicle Accident,Minor,PA,72.87408913588628,Liability,Closed,False,False,,1,2,18,1.0259966963132876,1.081995770512255,False
88,67,1515,206,1964.99,1915.59,2011.3,1880.62,2025-05-09,2025-05-15,Completed,Toyota,Camry,2008,Closed,Medium,Weather Related,Vehicle Accident,Moderate,NY,39.62908989170284,Liability,Under Review,False,False,,1,6,18,1.0235675499620862,1.049963718749837,False
91,69,5353,47,2183.13,2171.25,2223.96,2239.67,2025-10-22,2025-11-02,Completed,Toyota,Camry,2010,Open,Medium,Parking Lot Incident,Vehicle Accident,Moderate,IL,72.28248960803136,Liability,Closed,True,False,,3,11,16,1.0187025051187972,1.0242763385146805,False
95,71,5654,57,7128.65,6898.8,9696.29,6722.04,2025-08-04,2025-08-17,Scheduled,Ford,F-150,2010,Open,Low,Parking Lot Incident,Vehicle Accident,Severe,TX,91.0389718905229,Liability,Closed,False,False,,1,13,16,1.360186009973838,1.405503855743028,False
99,75,6022,74,4878.3,4896.61,4304.16,4467.55,2026-01-17,2026-01-31,Completed,Honda,Civic,2014,Closed,Medium,Rear-end Collision,Vehicle Accident,Severe,CA,100.0,Liability,Open,False,False,,1,14,12,0.8823073611708996,0.8790081301145078,False
100,75,6022,74,3760.0,3620.23,3825.33,3582.78,2026-01-17,2026-01-31,Completed,Honda,Civic,2014,Closed,Medium,Rear-end Collision,Vehicle Accident,Severe,CA,100.0,Liability,Open,False,False,,1,14,12,1.017375,1.056653859008958,False
101,76,2266,5,875.98,851.07,843.04,807.32,2025-05-06,2025-05-12,In Progress,Ford,Focus,2008,Open,Low,Rear-end Collision,Vehicle Accident,Minor,CA,77.95703368691633,Liability,Open,False,False,,1,6,18,0.962396401744332,0.9905648184050665,False
102,77,1551,144,8671.38,8427.56,9356.91,8317.95,2026-06-21,2026-07-06,Completed,Mercedes-Benz,C-Class,2025,Open,Low,Side Impact,Vehicle Accident,Severe,IL,100.0,Liability,Closed,False,False,,1,15,1,1.079056620745487,1.1102750974184699,False
103,78,7686,183,863.28,817.59,796.18,780.97,2026-05-09,2026-05-11,Completed,Ford,Focus,2009,Open,Low,Parking Lot Incident,Vehicle Accident,Minor,NJ,37.38994175506886,Liability,Open,False,False,,1,2,17,0.9222731906218145,0.9738132804951136,False
105,80,253,68,3880.06,3681.52,3972.75,3609.37,2025-12-25,2026-01-11,Completed,Ford,Focus,2017,Open,High,Parking Lot Incident,Vehicle Accident,Severe,NY,70.71247913507048,Liability,Open,False,False,,1,17,9,1.0238888058432085,1.079105912775158,False
109,83,713,93,5481.35,5325.12,4972.3,4692.09,2025-08-16,2025-08-26,In Progress,Mercedes-Benz,C-Class,2018,Open,Medium,Weather Related,Vehicle Accident,Moderate,NJ,91.14867134933976,Liability,Closed,False,False,,1,10,8,0.9071305426582867,0.9337442160927829,False
113,86,7588,3,2359.69,2119.4,2566.23,2081.76,2025-03-12,2025-03-22,Completed,Subaru,Outback,2017,Closed,Low,Parking Lot Incident,Vehicle Accident,Moderate,FL,62.435452109815415,Liability,Closed,False,False,,1,10,9,1.087528446533231,1.2108285363782203,False
114,87,4324,116,6307.06,6007.06,5172.34,5182.87,2026-02-19,2026-03-04,Completed,Chevrolet,Silverado,2012,Closed,Medium,Head-on Collision,Vehicle Accident,Severe,PA,55.602102334952434,Liability,Closed,False,False,,1,13,14,0.8200873307055903,0.8610435054752241,False
115,87,4324,116,4381.72,3988.83,4080.03,3801.07,2026-02-19,2026-03-04,In Progress,Chevrolet,Silverado,2012,Closed,Medium,Head-on Collision,Vehicle Accident,Severe,PA,55.602102334952434,Liability,Closed,False,False,,1,13,14,0.9311480423212802,1.0228638472935674,False
116,88,598,145,6230.69,5950.29,6903.46,5758.0,2025-07-22,2025-08-04,Completed,Chevrolet,Silverado,2022,Open,Medium,Rear-end Collision,Vehicle Accident,Severe,TX,76.23528364008071,Liability,Under Review,False,False,,1,13,4,1.107976805137152,1.1601888311326003,False
119,91,5422,96,2492.15,2419.04,2387.75,2436.27,2025-03-17,2025-03-23,Completed,Honda,Civic,2014,Open,Low,Parking Lot Incident,Vehicle Accident,Moderate,TX,61.36663816049499,Liability,Closed,False,False,,1,6,12,0.9581084605661777,0.9870651167405252,False
120,92,1798,174,4158.22,4025.24,3837.45,3710.36,2025-06-15,2025-07-01,In Progress,Toyota,Camry,2020,Open,Low,Hit and Run,Vehicle Accident,Severe,CA,100.0,Liability,Closed,True,False,,3,16,6,0.9228588193986849,0.9533468811797557,False
123,95,3387,59,1524.2,1431.06,3773.053158484906,1456.54,2025-11-24,2025-12-08,Scheduled,Ford,Focus,2024,Open,Low,Side Impact,Vehicle Accident,Moderate,OH,100.0,Liability,Under Review,False,True,invoice_spike,1,14,2,2.475431805855469,2.636544350680549,False
126,98,6382,185,7443.78,7231.21,7388.46,6928.92,2026-05-26,2026-06-15,Completed,Tesla,Model 3,2015,Closed,Medium,Weather Related,Vehicle Accident,Severe,NJ,100.0,Liability,Closed,False,False,,1,20,11,0.9925682919162039,1.0217460148439887,False
127,99,3400,92,5508.81,5425.2,5560.92,5399.72,2025-09-15,2025-09-29,In Progress,Chevrolet,Silverado,2024,Reopened,Medium,Hit and Run,Vehicle Accident,Severe,CA,78.1419851436301,Liability,Closed,False,False,,1,14,2,1.0094593932264861,1.025016589250166,False
133,103,3722,182,1600.61,1505.54,1679.0,1548.34,2025-04-26,2025-04-27,Completed,Ford,F-150,2019,Open,Medium,Hit and Run,Vehicle Accident,Minor,CA,82.18746050073366,Liability,Closed,False,False,,1,1,7,1.0489750782514167,1.1152144745406964,False
134,103,3722,182,1447.06,1272.47,1491.54,1314.92,2025-04-26,2025-04-27,Completed,Ford,F-150,2019,Open,Medium,Hit and Run,Vehicle Accident,Minor,CA,82.18746050073366,Liability,Closed,False,False,,1,1,7,1.0307381863917184,1.1721612297342963,False
137,106,7053,45,4809.6,4547.73,4032.36,3904.1,2025-01-24,2025-02-09,Completed,Jeep,Grand Cherokee,2018,Open,Low,Parking Lot Incident,Vehicle Accident,Severe,FL,90.05037342119319,Liability,Closed,False,False,,1,16,8,0.8383982035928144,0.8866753303296371,False
138,107,342,140,3976.51,3818.67,3637.61,3651.98,2025-01-16,2025-02-03,Completed,Toyota,Camry,2021,Closed,Low,Rear-end Collision,Vehicle Accident,Severe,OH,87.00860361910567,Liability,Closed,False,False,,1,18,5,0.9147745133295276,0.9525855860810177,False
140,109,5075,159,8491.86,7441.09,8550.79,7404.55,2026-02-23,2026-03-26,In Progress,Honda,Civic,2011,Open,High,Side Impact,Vehicle Accident,Total Loss,NY,79.93761684784238,Liability,Closed,False,False,,1,31,15,1.0069395868514084,1.149131377257902,False
141,110,4485,29,4713.08,4502.58,10752.001747263792,3990.23,2025-02-14,2025-02-15,Completed,Toyota,Camry,2017,Open,Medium,Rear-end Collision,Vehicle Accident,Severe,FL,79.97883914975118,Liability,Open,False,True,duration_mismatch,1,1,9,2.2813111059569944,2.3879646218976216,False
142,111,3228,137,1008.02,958.09,853.7,832.73,2026-02-02,2026-02-08,In Progress,Subaru,Outback,2012,Open,Medium,Rear-end Collision,Vehicle Accident,Minor,IL,97.1148945125484,Liability,Closed,False,False,,1,6,14,0.8469077994484236,0.8910436389065746,False
143,111,3228,137,1425.31,1492.57,1214.08,1269.82,2026-02-02,2026-02-08,In Progress,Subaru,Outback,2012,Open,Medium,Rear-end Collision,Vehicle Accident,Minor,IL,97.1148945125484,Liability,Closed,False,False,,1,6,14,0.8518006609088549,0.8134157861942823,False
144,112,7066,48,3787.0,3662.1,3273.74,3230.49,2025-02-05,2025-02-22,Scheduled,Hyundai,Elantra,2015,Open,High,Side Impact,Vehicle Accident,Severe,NY,75.59991976954912,Liability,Open,False,False,,1,17,11,0.8644679165566411,0.8939515578493213,False
145,112,7066,48,3527.64,3215.83,3566.4,3051.2,2025-02-05,2025-02-22,Scheduled,Hyundai,Elantra,2015,Open,High,Side Impact,Vehicle Accident,Severe,NY,75.59991976954912,Liability,Open,False,False,,1,17,11,1.010987515732898,1.1090138471250035,False
147,114,1731,200,11196.71,11177.99,11618.95,11508.36,2026-03-20,2026-04-15,Completed,Ford,F-150,2018,Closed,Medium,Weather Related,Vehicle Accident,Total Loss,CA,97.96158040615975,Liability,Open,False,False,,1,26,8,1.0377110776290537,1.0394489528081525,False
148,114,1731,200,9570.36,9059.74,8932.39,9089.22,2026-03-20,2026-04-15,Completed,Ford,F-150,2018,Closed,Medium,Weather Related,Vehicle Accident,Total Loss,CA,97.96158040615975,Liability,Open,False,False,,1,26,8,0.933338975754308,0.9859433052162645,False
151,117,5743,190,1143.95,1163.08,1199.75,1224.94,2026-07-03,2026-07-05,In Progress,Honda,CR-V,2021,Open,Low,Side Impact,Vehicle Accident,Minor,FL,100.0,Liability,Open,False,False,,1,2,5,1.0487783556973644,1.0315283557450907,False
152,118,778,53,2094.3,1966.46,1685.77,1806.83,2025-04-02,2025-04-08,In Progress,Honda,Civic,2022,Open,Medium,Rear-end Collision,Vehicle Accident,Moderate,CA,73.72898699902257,Liability,Open,False,False,,1,6,4,0.8049324356586925,0.8572612715234482,False
153,119,1510,81,2274.58,2130.09,2352.38,2146.09,2025-03-15,2025-03-29,Completed,Jeep,Grand Cherokee,2011,Open,Medium,Side Impact,Vehicle Accident,Moderate,IL,78.71066191233027,Liability,Open,False,False,,1,14,15,1.0342041168039815,1.1043570928927886,False
154,119,1510,81,3604.22,3036.54,3844.57,3034.62,2025-03-15,2025-03-29,Completed,Jeep,Grand Cherokee,2011,Open,Medium,Side Impact,Vehicle Accident,Moderate,IL,78.71066191233027,Liability,Open,False,False,,1,14,15,1.0666857184078664,1.2661022084346,False
155,120,2490,208,1350.86,1328.68,1501.41,1376.06,2025-04-03,2025-04-09,Completed,Ford,F-150,2024,Open,Medium,Weather Related,Vehicle Accident,Minor,OH,68.04893098529516,Liability,Open,False,False,,1,6,2,1.1114475223191154,1.1300012042026673,False
156,120,2490,208,1621.71,1571.16,1826.71,1590.24,2025-04-03,2025-04-09,Completed,Ford,F-150,2024,Open,Medium,Weather Related,Vehicle Accident,Minor,OH,68.04893098529516,Liability,Open,False,False,,1,6,2,1.126409777333802,1.162650525726215,False
158,122,2164,184,1943.62,1856.88,2271.34,1842.36,2025-10-11,2025-10-20,Completed,Toyota,Corolla,2010,Closed,Medium,Rollover,Vehicle Accident,Moderate,NJ,100.0,Liability,Open,False,False,,1,9,16,1.1686132062851793,1.2232023609495497,False
159,122,2164,184,2155.06,1984.93,1797.1,1765.88,2025-10-11,2025-10-20,Completed,Toyota,Corolla,2010,Closed,Medium,Rollover,Vehicle Accident,Moderate,NJ,100.0,Liability,Open,False,False,,1,9,16,0.8338978961142613,0.9053719778531232,False
160,123,3706,88,2163.28,2116.39,2215.3,2178.38,2025-02-15,2025-02-27,Scheduled,Toyota,Corolla,2018,Open,Low,Parking Lot Incident,Vehicle Accident,Moderate,TX,100.0,Liability,Closed,False,False,,1,12,8,1.0240468177951998,1.0467352425592638,False
161,124,4588,169,2450.9858086313825,1982.09,2697.709883978896,2695.7742867638717,2025-08-23,2025-08-30,Completed,Toyota,Corolla,2008,Open,Medium,Rear-end Collision,Vehicle Accident,Moderate,NY,100.0,Liability,Under Review,False,True,combo,1,7,18,1.1006632002840044,1.3610430827958853,False
162,125,6784,21,4010.79,3590.53,4248.86,3669.56,2025-06-04,2025-06-15,In Progress,BMW,3 Series,2020,Closed,Medium,Parking Lot Incident,Vehicle Accident,Moderate,CA,20.03862309281372,Liability,Closed,True,False,,4,11,6,1.0593573834581216,1.183351761439119,False
163,126,2159,167,7321.45,6908.9,7809.13,6718.12,2025-02-05,2025-02-22,Scheduled,Ford,F-150,2020,Open,Medium,Parking Lot Incident,Vehicle Accident,Severe,FL,100.0,Liability,Closed,False,False,,1,17,6,1.0666097562641281,1.1303000477644778,False
168,131,4330,67,1137.08,1105.62,1117.4,1012.44,2025-09-13,2025-09-16,Completed,Subaru,Outback,2018,Open,Medium,Hit and Run,Vehicle Accident,Minor,NJ,100.0,Liability,Open,True,False,,3,3,8,0.9826925106412919,1.010654655306525,False
169,132,4978,65,978.4,851.25,938.26,846.98,2025-06-09,2025-06-14,In Progress,Nissan,Altima,2020,Open,Low,Rear-end Collision,Vehicle Accident,Minor,CA,100.0,Liability,Under Review,False,False,,1,5,6,0.9589738348323794,1.1022143906020558,False
176,137,324,176,3944.53,4000.42,3748.98,3780.42,2026-01-23,2026-02-09,In Progress,Ford,F-150,2014,Open,Medium,Side Impact,Vehicle Accident,Severe,CA,90.59121021420954,Liability,Open,False,False,,1,17,12,0.9504250189502932,0.9371465996070413,False
177,138,3239,28,2835.08,2844.44,2995.83,2892.62,2025-09-16,2025-09-17,Completed,Mercedes-Benz,C-Class,2014,Closed,Low,Parking Lot Incident,Vehicle Accident,Minor,NC,92.87737663892688,Liability,Under Review,False,False,,1,1,12,1.0567003400256783,1.0532231300361405,False
178,139,3795,48,2107.12,2159.27,2027.04,2010.01,2025-02-20,2025-02-25,Completed,Ford,F-150,2013,Closed,Low,Parking Lot Incident,Vehicle Accident,Minor,NY,75.20605663752963,Liability,Open,False,False,,1,5,13,0.9619955199514029,0.9387617111338554,False
179,140,2581,60,1338.88,1285.48,1335.34,1335.41,2025-01-14,2025-01-21,Completed,Jeep,Grand Cherokee,2025,Closed,Low,Rear-end Collision,Vehicle Accident,Minor,IL,68.95046383146908,Liability,Open,False,False,,1,7,1,0.9973559990439769,1.0387870678656999,False
181,142,6520,145,1798.52,1738.87,1800.13,1741.7,2025-03-04,2025-03-10,Scheduled,Hyundai,Elantra,2023,Closed,Low,Rear-end Collision,Vehicle Accident,Moderate,CA,79.3170493508572,Liability,Open,False,False,,1,6,3,1.0008951804817294,1.035229775658905,False
