repair_id,claim_id,vehicle_id,repair_shop_contact_id,invoice_amount,estimate_amount,approved_amount,paid_amount,repair_start_date,repair_end_date,damage_severity,liability_percentage,vehicle_year,make,model,claim_severity,loss_cause,incident_state,initial_damage_assessment,point_of_impact,airbags_deployed,weather_conditions,road_conditions,catastrophe_code,loss_date,reported_date,cost_type,cost_category,shop_city,shop_state,reserve_amount,is_repeat_vehicle,vehicle_claim_count
29,23,1691,151,9742.27,7320.67,8394.41,8239.67,2025-01-22,2025-02-11,Severe,100.0,2023,Tesla,Model 3,Low,Side Impact,CA,Moderate,Rear Right Corner,True,Clear,Dry,,2025-01-14,2025-01-22,Parts,Repair,Fresno,CA,6311.79,False,1
30,23,1691,151,8280.78,9272.63,7677.86,7766.88,2025-01-22,2025-02-11,Severe,100.0,2023,Tesla,Model 3,Low,Side Impact,CA,Moderate,Rear Right Corner,True,Clear,Dry,,2025-01-14,2025-01-22,Rental,Repair,Fresno,CA,6311.79,False,1
31,24,1852,186,1208.4,1055.8,1199.1,1201.85,2025-06-22,2025-06-24,Minor,90.47285132023003,2012,Toyota,Corolla,Medium,Rollover,OH,Moderate,Driver Side,False,Clear,Dry,,2025-06-14,2025-06-19,Parts,Repair,Columbus,OH,2361.6,False,1
32,24,1852,186,1206.95,778.22,1131.39,1131.62,2025-06-22,2025-06-24,Minor,90.47285132023003,2012,Toyota,Corolla,Medium,Rollover,OH,Moderate,Driver Side,False,Clear,Dry,,2025-06-14,2025-06-19,Rental,Repair,Columbus,OH,2361.6,False,1
33,25,4178,178,1998.58,2680.47,1860.13,1856.15,2025-10-10,2025-10-17,Moderate,84.4807702277537,2015,Honda,Civic,Low,Rear-end Collision,NY,Moderate,Rear,False,Rain,Dry,,2025-10-08,2025-10-16,Administrative,Repair,Tampa,FL,1488.69,False,1
34,26,1849,70,5818.39,5326.61,5972.27,5496.93,2026-04-11,2026-04-29,Severe,71.58348901439415,2016,Toyota,Camry,Low,Side Impact,IL,Severe,Driver Side,True,Clear,Icy,,2026-04-09,2026-04-09,Labor,Repair,Springfield,IL,5643.91,False,1
35,26,1849,70,5225.75,6765.26,4850.6,4912.88,2026-04-11,2026-04-29,Severe,71.58348901439415,2016,Toyota,Camry,Low,Side Impact,IL,Severe,Driver Side,True,Clear,Icy,,2026-04-09,2026-04-09,Labor,Repair,Springfield,IL,5643.91,False,1
36,26,1849,70,5207.01,5518.51,5112.5,4963.91,2026-04-11,2026-04-29,Severe,71.58348901439415,2016,Toyota,Camry,Low,Side Impact,IL,Severe,Driver Side,True,Clear,Icy,,2026-04-09,2026-04-09,Parts,Repair,Springfield,IL,5643.91,False,1
37,27,1870,203,1944.41,2878.14,1763.0,1767.16,2025-05-11,2025-05-14,Moderate,100.0,2024,Ford,Focus,Low,Rear-end Collision,CA,Moderate,Driver Side,False,Rain,Dry,,2025-05-03,2025-05-04,Parts,Repair,El Paso,TX,1766.58,False,1
38,28,4142,206,2732.6,2729.5,2845.28,2807.83,2026-05-16,2026-05-25,Moderate,73.44409218369866,2015,Ford,Focus,Low,Head-on Collision,CA,Moderate,Front,True,Wind,Dry,,2026-05-09,2026-05-14,Labor,Repair,Springfield,IL,2754.45,False,1
39,29,3494,10,5121.63,4710.54,4532.04,4508.99,2025-01-19,2025-02-05,Severe,86.03186123362023,2025,Nissan,Altima,Medium,Hit and Run,FL,Total Loss,Front,True,Clear,Dry,,2025-01-15,2025-01-20,Labor,Repair,El Paso,TX,6575.09,False,1
40,30,852,16,2094.06,1639.97,1902.68,1855.45,2026-03-12,2026-03-14,Minor,82.82771611647992,2018,BMW,3 Series,Medium,Side Impact,FL,Minor,Rear Left Corner,False,Fog,Dry,,2026-03-07,2026-03-11,Towing,Supplemental,El Paso,TX,3138.16,False,1
41,31,5679,6,17623.602589363825,17919.13670826053,6728.18,6662.25,2026-01-02,2026-02-01,Total Loss,100.0,2020,Hyundai,Elantra,Medium,Parking Lot Incident,CA,Total Loss,Passenger Side,True,Clear,Wet,,2025-12-31,2026-01-03,Towing,Repair,Fresno,CA,4350.01,False,1
42,32,512,61,3456.86,4303.86,3035.63,3089.46,2025-07-29,2025-08-07,Moderate,80.1112786743605,2016,Ford,F-150,Low,Side Impact,TX,Moderate,Passenger Side,False,Fog,Under Construction,,2025-07-20,2025-07-23,Parts,Repair,Peoria,IL,2237.0,False,1
43,33,734,198,1249.76,984.11,1249.55,1235.99,2025-05-13,2025-05-21,Minor,100.0,2018,Toyota,Corolla,Low,Rear-end Collision,NY,Moderate,Rear,False,Snow,Debris,,2025-05-11,2025-05-14,Paint,Supplemental,Springfield,IL,1046.01,True,5
44,33,734,198,1238.66,933.49,1295.82,1204.91,2025-05-13,2025-05-21,Minor,100.0,2018,Toyota,Corolla,Low,Rear-end Collision,NY,Moderate,Rear,False,Snow,Debris,,2025-05-11,2025-05-14,Towing,Repair,Springfield,IL,1046.01,True,5
45,34,1108,51,1116.0,760.78,1058.28,1099.91,2025-04-25,2025-05-02,Minor,85.75350339595191,2024,Nissan,Altima,Low,Head-on Collision,IL,Moderate,Front Left Corner,False,Ice,Wet,,2025-04-21,2025-04-25,Labor,Repair,Jersey City,NJ,2032.22,False,1
46,34,1108,51,886.1,722.68,847.65,882.33,2025-04-25,2025-05-02,Minor,85.75350339595191,2024,Nissan,Altima,Low,Head-on Collision,IL,Moderate,Front Left Corner,False,Ice,Wet,,2025-04-21,2025-04-25,Parts,Repair,Jersey City,NJ,2032.22,False,1
47,35,4267,102,1169.83,1269.5,1006.13,1042.59,2025-01-24,2025-01-25,Minor,95.57427376385306,2014,Honda,CR-V,High,Rear-end Collision,CA,Minor,Rear Right Corner,False,Rain,Dry,,2025-01-20,2025-01-28,Labor,Repair,Albany,NY,1147.68,False,1
48,36,1847,178,754.06,769.63,745.05,736.98,2025-04-22,2025-04-28,Minor,92.87203271737911,2018,Toyota,Corolla,Medium,Hit and Run,FL,Minor,Rear Right Corner,False,Clear,Dry,,2025-04-13,2025-04-13,Parts,Repair,Tampa,FL,1508.34,False,1
49,36,1847,178,760.24,612.07,673.11,681.68,2025-04-22,2025-04-28,Minor,92.87203271737911,2018,Toyota,Corolla,Medium,Hit and Run,FL,Minor,Rear Right Corner,False,Clear,Dry,,2025-04-13,2025-04-13,Paint,Repair,Tampa,FL,1508.34,False,1
50,37,599,194,1779.08,1821.98,1655.66,1741.59,2025-10-04,2025-10-09,Moderate,72.8989577293169,2020,Hyundai,Elantra,Medium,Rear-end Collision,PA,Moderate,Passenger Side,False,Wind,Dry,,2025-09-29,2025-10-02,Towing,Repair,Jersey City,NJ,347.86,False,1
51,38,797,130,9256.76,10550.31,8958.85,8838.1,2025-10-21,2025-11-16,Total Loss,69.26579323085399,2022,Chevrolet,Silverado,Low,Rear-end Collision,CA,Total Loss,Rear Left Corner,True,Ice,Dry,,2025-10-18,2025-10-27,Paint,Repair,Jersey City,NJ,13270.8,False,1
52,39,3658,5,2909.21,2396.8,2533.23,2402.05,2025-12-21,2025-12-24,Moderate,100.0,2008,Toyota,Corolla,Medium,Head-on Collision,NY,Severe,Driver Side,False,Clear,Debris,,2025-12-13,2025-12-17,Parts,Supplemental,Orlando,FL,3239.99,False,1
53,40,1487,5,1190.76,1424.06,1145.17,1171.86,2026-04-09,2026-04-15,Minor,75.40096074051034,2020,Honda,Civic,Medium,Parking Lot Incident,OH,Minor,Rear,False,Fog,Icy,,2026-03-31,2026-04-03,Labor,Repair,Orlando,FL,1181.9,False,1
54,40,1487,5,993.88,1242.26,970.58,993.7,2026-04-09,2026-04-15,Minor,75.40096074051034,2020,Honda,Civic,Medium,Parking Lot Incident,OH,Minor,Rear,False,Fog,Icy,,2026-03-31,2026-04-03,Parts,Repair,Orlando,FL,1181.9,False,1
55,40,1487,5,1371.06,1204.86,1296.58,1247.48,2026-04-09,2026-04-15,Minor,75.40096074051034,2020,Honda,Civic,Medium,Parking Lot Incident,OH,Minor,Rear,False,Fog,Icy,,2026-03-31,2026-04-03,Towing,Supplemental,Orlando,FL,1181.9,False,1
56,41,3175,57,1700.78,1630.72,1461.61,1509.1,2025-10-15,2025-10-20,Minor,77.38287979893649,2009,Ford,F-150,Medium,Head-on Collision,TX,Minor,Front,False,Clear,Dry,,2025-10-12,2025-10-19,Parts,Repair,Pittsburgh,PA,1773.38,False,1
57,42,1401,167,5844.5,5998.7,5134.42,5125.02,2026-02-02,2026-03-01,Total Loss,78.25830075488297,2017,Honda,Civic,High,Side Impact,NY,Total Loss,Rear Right Corner,False,Snow,Debris,,2026-01-31,2026-02-03,Rental,Repair,Columbus,OH,7117.07,False,1
58,43,6518,191,814.49,799.48,762.59,786.96,2026-06-05,2026-06-10,Minor,79.18037518534823,2009,Honda,Civic,Low,Side Impact,NY,Moderate,Rear Right Corner,False,Snow,Dry,,2026-06-03,2026-06-03,Parts,Repair,Newark,NJ,2034.52,False,1
59,44,2608,63,6657.59,6945.94,6451.66,6284.23,2025-06-09,2025-07-06,Total Loss,52.77543097933411,2020,Hyundai,Elantra,Medium,Side Impact,TX,Total Loss,Passenger Side,True,Clear,Dry,,2025-06-02,2025-06-11,Parts,Repair,Columbus,OH,5477.82,False,1
60,45,3403,177,3665.43,3570.72,3534.36,3715.05,2026-06-05,2026-06-16,Moderate,87.06662285500055,2012,Mercedes-Benz,C-Class,High,Side Impact,NY,Moderate,Rear Left Corner,False,Clear,Wet,,2026-06-02,2026-06-03,Parts,Repair,Peoria,IL,4123.84,True,4
61,46,1453,62,1853.92,1498.2,1873.51,1876.15,2026-04-20,2026-04-25,Minor,62.9715701482238,2021,Toyota,Camry,Low,Side Impact,CA,Minor,Front,False,Clear,Dry,,2026-04-17,2026-04-20,Parts,Supplemental,Jersey City,NJ,853.74,False,1
62,46,1453,62,1341.19,1488.34,1271.11,1255.7,2026-04-20,2026-04-25,Minor,62.9715701482238,2021,Toyota,Camry,Low,Side Impact,CA,Minor,Front,False,Clear,Dry,,2026-04-17,2026-04-20,Paint,Repair,Jersey City,NJ,853.74,False,1
63,47,5399,71,1683.57,1727.15,1515.61,1531.24,2025-11-17,2025-11-25,Moderate,70.47874557547665,2023,Toyota,Corolla,Medium,Parking Lot Incident,IL,Moderate,Rear Right Corner,False,Rain,Dry,,2025-11-09,2025-11-15,Rental,Repair,Buffalo,NY,1961.83,False,1
64,47,5399,71,1591.01,1796.45,1552.64,1544.08,2025-11-17,2025-11-25,Moderate,70.47874557547665,2023,Toyota,Corolla,Medium,Parking Lot Incident,IL,Moderate,Rear Right Corner,False,Rain,Dry,,2025-11-09,2025-11-15,Parts,Repair,Buffalo,NY,1961.83,False,1
65,47,5399,71,2250.94,1531.74,2160.91,2168.15,2025-11-17,2025-11-25,Moderate,70.47874557547665,2023,Toyota,Corolla,Medium,Parking Lot Incident,IL,Moderate,Rear Right Corner,False,Rain,Dry,,2025-11-09,2025-11-15,Parts,Supplemental,Buffalo,NY,1961.83,False,1
66,48,1396,101,2507.17,1878.27,2473.3,2580.59,2026-03-04,2026-03-17,Moderate,84.87241825510233,2019,Toyota,Camry,High,Rear-end Collision,NJ,Moderate,Passenger Side,False,Clear,Dry,,2026-02-28,2026-03-05,Labor,Repair,Durham,NC,2284.59,False,1
67,48,1396,101,2619.14,2265.96,2494.94,2506.52,2026-03-04,2026-03-17,Moderate,84.87241825510233,2019,Toyota,Camry,High,Rear-end Collision,NJ,Moderate,Passenger Side,False,Clear,Dry,,2026-02-28,2026-03-05,Labor,Repair,Durham,NC,2284.59,False,1
68,49,508,3,2050.72,1905.69,1904.77,1918.05,2025-01-07,2025-01-14,Moderate,82.30142184008223,2023,Honda,Civic,Low,Hit and Run,IL,Moderate,Front,False,Clear,Dry,,2025-01-04,2025-01-05,Parts,Repair,Fresno,CA,1684.76,False,1
69,50,2057,189,858.59,1030.32,775.91,812.47,2026-06-19,2026-06-26,Minor,61.33287353405859,2015,Hyundai,Elantra,Low,Side Impact,NJ,Minor,Driver Side,False,Clear,Dry,,2026-06-11,2026-06-15,Labor,Repair,Austin,TX,1096.95,False,1
70,51,6425,206,1070.65,1234.19,914.49,900.6,2025-02-13,2025-02-16,Minor,82.73311385965397,2011,Hyundai,Elantra,Medium,Side Impact,CA,Minor,Front,False,Snow,Under Construction,,2025-02-10,2025-02-18,Parts,Repair,Springfield,IL,913.89,False,1
71,51,6425,206,1399.44,845.06,1413.77,1436.61,2025-02-13,2025-02-16,Minor,82.73311385965397,2011,Hyundai,Elantra,Medium,Side Impact,CA,Minor,Front,False,Snow,Under Construction,,2025-02-10,2025-02-18,Labor,Supplemental,Springfield,IL,913.89,False,1
72,51,6425,206,1587.31,1446.79,1608.22,1520.18,2025-02-13,2025-02-16,Minor,82.73311385965397,2011,Hyundai,Elantra,Medium,Side Impact,CA,Minor,Front,False,Snow,Under Construction,,2025-02-10,2025-02-18,Parts,Supplemental,Springfield,IL,913.89,False,1
73,52,485,45,3325.99,3628.07,2839.55,2891.96,2025-08-04,2025-08-13,Moderate,100.0,2022,Ford,F-150,High,Rear-end Collision,IL,Moderate,Passenger Side,False,Rain,Wet,,2025-07-27,2025-07-29,Towing,Repair,Jersey City,NJ,3500.54,False,1
74,52,485,45,3322.9,2585.69,3167.0,3104.14,2025-08-04,2025-08-13,Moderate,100.0,2022,Ford,F-150,High,Rear-end Collision,IL,Moderate,Passenger Side,False,Rain,Wet,,2025-07-27,2025-07-29,Parts,Repair,Jersey City,NJ,3500.54,False,1
75,53,3056,181,2182.91,2354.21,2023.95,2018.43,2025-12-08,2025-12-15,Moderate,100.0,2012,Honda,Civic,Low,Hit and Run,CA,Moderate,Driver Side,False,Clear,Dry,,2025-12-02,2025-12-08,Paint,Repair,Columbus,OH,2370.89,False,1
76,54,5275,16,3055.36,2692.65,3120.21,3096.22,2025-06-07,2025-06-14,Moderate,100.0,2015,Honda,CR-V,Low,Side Impact,CA,Moderate,Passenger Side,False,Wind,Dry,,2025-05-29,2025-06-04,Labor,Repair,El Paso,TX,1538.39,True,6
77,55,3564,188,3224.23,3826.32,3125.1,3199.3,2025-10-13,2025-10-22,Moderate,96.3611289446313,2013,Honda,CR-V,Low,Rear-end Collision,NY,Moderate,Front,False,Snow,Wet,,2025-10-06,2025-10-13,Paint,Repair,Toledo,OH,4285.25,False,1
78,55,3564,188,3562.63,2284.71,3075.15,3222.48,2025-10-13,2025-10-22,Moderate,96.3611289446313,2013,Honda,CR-V,Low,Rear-end Collision,NY,Moderate,Front,False,Snow,Wet,,2025-10-06,2025-10-13,Parts,Repair,Toledo,OH,4285.25,False,1
79,56,4473,89,1659.16,1296.16,1583.32,1626.28,2025-11-11,2025-11-14,Minor,64.85405376367811,2010,Ford,F-150,Low,Rear-end Collision,NY,Minor,Front Left Corner,False,Clear,Wet,,2025-11-08,2025-11-17,Paint,Supplemental,Columbus,OH,1464.55,False,1
80,57,3027,31,873.67,982.08,849.49,854.33,2025-10-18,2025-10-22,Minor,98.03468143404672,2012,Toyota,Camry,Low,Parking Lot Incident,GA,Minor,Rear Right Corner,False,Clear,Under Construction,,2025-10-11,2025-10-11,Paint,Repair,Springfield,IL,1744.49,False,1
81,58,2785,84,5826.13,7794.1,5645.73,5859.42,2026-07-01,2026-07-21,Severe,64.8857288903956,2010,Toyota,Camry,Medium,Rollover,TX,Severe,Rear,True,Rain,Wet,,2026-06-29,2026-07-03,Paint,Repair,Springfield,IL,2727.72,False,1
82,59,6325,172,2609.8,2347.38,2385.59,2481.31,2025-04-02,2025-04-07,Moderate,65.27448836500429,2020,Toyota,Camry,Medium,Rear-end Collision,CA,Moderate,Rear Right Corner,False,Clear,Dry,,2025-03-29,2025-04-01,Paint,Repair,Tampa,FL,2383.98,False,1
83,60,1197,170,1633.0,1779.02,1609.02,1596.01,2026-01-23,2026-02-05,Moderate,65.1427154564069,2023,Ford,Focus,Medium,Head-on Collision,CA,Moderate,Rear Right Corner,True,Wind,Wet,,2026-01-21,2026-01-26,Rental,Repair,Erie,PA,1509.14,False,1
84,61,3636,162,2112.73,2654.88,2051.55,2057.88,2026-05-01,2026-05-15,Moderate,94.70512041326432,2016,Honda,CR-V,Low,Side Impact,CA,Moderate,Front Right Corner,False,Clear,Icy,,2026-04-25,2026-04-27,Parts,Repair,Sacramento,CA,2665.88,False,1
85,61,3636,162,2188.92,2138.57,2088.26,2076.39,2026-05-01,2026-05-15,Moderate,94.70512041326432,2016,Honda,CR-V,Low,Side Impact,CA,Moderate,Front Right Corner,False,Clear,Icy,,2026-04-25,2026-04-27,Parts,Repair,Sacramento,CA,2665.88,False,1
86,62,6150,182,2164.32,1676.87,2161.43,2193.33,2025-07-17,2025-07-21,Minor,100.0,2012,Mercedes-Benz,C-Class,Low,Rear-end Collision,NJ,Minor,Front Left Corner,False,Clear,Wet,,2025-07-14,2025-07-21,Parts,Repair,El Paso,TX,4434.13,False,1
87,62,6150,182,1879.13,1811.83,1791.46,1837.15,2025-07-17,2025-07-21,Minor,100.0,2012,Mercedes-Benz,C-Class,Low,Rear-end Collision,NJ,Minor,Front Left Corner,False,Clear,Wet,,2025-07-14,2025-07-21,Parts,Repair,El Paso,TX,4434.13,False,1
88,63,1517,152,2500.41,1828.37,2606.48,2513.1,2025-07-25,2025-07-29,Moderate,84.9854504348124,2020,Toyota,Corolla,Low,Parking Lot Incident,IL,Moderate,Rear,False,Clear,Icy,,2025-07-18,2025-07-18,Paint,Repair,Pittsburgh,PA,2220.29,False,1
89,64,2358,113,1827.3,2362.34,1769.01,1727.86,2026-01-02,2026-01-08,Moderate,63.13088646489001,2018,Toyota,Camry,Low,Hit and Run,OH,Moderate,Rear Left Corner,False,Clear,Dry,,2025-12-30,2026-01-06,Labor,Repair,Newark,NJ,2398.5,True,5
90,65,6285,37,2972.38,2508.41,2522.28,2508.12,2026-02-20,2026-02-28,Moderate,59.05249820835866,2010,Toyota,Camry,Low,Side Impact,IL,Severe,Passenger Side,False,Snow,Dry,,2026-02-13,2026-02-21,Labor,Repair,Springfield,IL,4232.51,False,1
91,65,6285,37,2484.23,2578.64,2446.56,2524.75,2026-02-20,2026-02-28,Moderate,59.05249820835866,2010,Toyota,Camry,Low,Side Impact,IL,Severe,Passenger Side,False,Snow,Dry,,2026-02-13,2026-02-21,Parts,Repair,Springfield,IL,4232.51,False,1
92,66,4194,152,1629.29,1418.93,1711.91,1619.63,2025-09-17,2025-09-18,Minor,100.0,2017,Jeep,Grand Cherokee,High,Rear-end Collision,NY,Minor,Passenger Side,False,Fog,Wet,,2025-09-13,2025-09-17,Rental,Repair,Pittsburgh,PA,1196.79,True,5
93,67,3642,90,1114.35,1116.07,1080.7,1081.96,2025-03-28,2025-04-02,Minor,100.0,2024,Honda,Civic,Medium,Rear-end Collision,NJ,Minor,Passenger Side,False,Clear,Dry,,2025-03-25,2025-04-03,Labor,Repair,Savannah,GA,1017.69,False,1
94,67,3642,90,1113.16,1143.0,1069.41,1044.32,2025-03-28,2025-04-02,Minor,100.0,2024,Honda,Civic,Medium,Rear-end Collision,NJ,Minor,Passenger Side,False,Clear,Dry,,2025-03-25,2025-04-03,Labor,Repair,Savannah,GA,1017.69,False,1
95,67,3642,90,1083.45,1082.87,986.76,908.07,2025-03-28,2025-04-02,Minor,100.0,2024,Honda,Civic,Medium,Rear-end Collision,NJ,Minor,Passenger Side,False,Clear,Dry,,2025-03-25,2025-04-03,Administrative,Repair,Savannah,GA,1017.69,False,1
